scan_type,beta_omega_q,beta,g_probe,n_modes,n_cut,trace_distance
n_cut,0.5,0.5,0.329393,2,4,0.029065643526918657
n_cut,0.5,0.5,0.329393,2,6,0.019469719440829508
n_cut,0.5,0.5,0.329393,2,8,0.013356531238267345
n_cut,0.5,0.5,0.329393,2,10,0.009179357038080229
n_cut,0.5,0.5,0.329393,2,12,0.0061858463034769225
n_modes,0.5,0.5,0.329393,1,4,0.00014852566087410142
n_modes,0.5,0.5,0.329393,2,4,0.029065643526918657
n_modes,0.5,0.5,0.329393,3,4,0.025035580995112966
n_modes,0.5,0.5,0.329393,4,4,0.020037404979003623
n_modes,0.5,0.5,0.329393,1,6,0.00012705922549441915
n_modes,0.5,0.5,0.329393,2,6,0.019469719440829508
n_modes,0.5,0.5,0.329393,3,6,0.01792991164716977
n_modes,0.5,0.5,0.329393,4,6,0.014582085641744392
n_cut,2.0,2.0,0.142668,2,4,0.020979800144776763
n_cut,2.0,2.0,0.142668,2,6,0.0027862370508287913
n_cut,2.0,2.0,0.142668,2,8,0.004164805372241162
n_cut,2.0,2.0,0.142668,2,10,0.006791994401886364
n_cut,2.0,2.0,0.142668,2,12,0.007726628169747183
n_modes,2.0,2.0,0.142668,1,4,0.00041753614647956587
n_modes,2.0,2.0,0.142668,2,4,0.020979800144776763
n_modes,2.0,2.0,0.142668,3,4,0.01694315523607573
n_modes,2.0,2.0,0.142668,4,4,0.012871567715232558
n_modes,2.0,2.0,0.142668,1,6,0.0004175359118005716
n_modes,2.0,2.0,0.142668,2,6,0.0027862370508287913
n_modes,2.0,2.0,0.142668,3,6,0.0049369466056368855
n_modes,2.0,2.0,0.142668,4,6,0.004388714912916035
n_cut,8.0,8.0,0.026443,2,4,0.001801269232264936
n_cut,8.0,8.0,0.026443,2,6,0.0017939311125511966
n_cut,8.0,8.0,0.026443,2,8,0.0017939164555684324
n_cut,8.0,8.0,0.026443,2,10,0.001793916434016063
n_cut,8.0,8.0,0.026443,2,12,0.001793916433986752
n_modes,8.0,8.0,0.026443,1,4,0.00017079897493843123
n_modes,8.0,8.0,0.026443,2,4,0.001801269232264936
n_modes,8.0,8.0,0.026443,3,4,0.0010366258205586768
n_modes,8.0,8.0,0.026443,4,4,0.0008148391124380738
n_modes,8.0,8.0,0.026443,1,6,0.0001707989749381814
n_modes,8.0,8.0,0.026443,2,6,0.0017939311125511966
n_modes,8.0,8.0,0.026443,3,6,0.0010351885349651714
n_modes,8.0,8.0,0.026443,4,6,0.0008142171618644052
