beta,omega_q,beta_omega_q,theta,g,g2,theory_model,g_star,g_max_used,g_range_hit_cap,chi0,sigma_plus0,sigma_minus0,delta_z0,kms_residual_base,sigma_plus,sigma_minus,delta_z,chi,gamma,phi_ed,r_ed,coherence_ed,rho01_abs_ed,mx_ed,my_ed,mz_ed,gauge_phase_ed,phi_th,r_th,coherence_th,rho01_abs_th,mx_th,my_th,mz_th,gauge_phase_th,trace_distance,phi_ed_unwrapped,phi_th_unwrapped,xi_phi_ed,xi_phi_th
0.5,1.0,0.5,0.7853981633974483,0.0,0.0,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.0,0.0,0.0,0.0,1.0,3.141592653589793,0.24491866240370908,0.0,0.0,0.0,0.0,-0.24491866240370908,0.0,3.141592653589793,0.24491866240370908,0.0,0.0,0.0,0.0,-0.24491866240370908,0.0,0.0,3.141592653589793,3.141592653589793,-0.03240566252639707,-0.09925671210711882
0.5,1.0,0.5,0.7853981633974483,0.012668974202295895,0.0001605029073384389,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.000392838354108066,0.00023826850607758853,0.0003078621511641344,0.00043402777777777765,0.9999999372066339,3.141182107087238,0.2448206225312021,0.00010051024751017941,5.0255123755089705e-05,0.00010051024751017941,0.0,-0.24482060189913651,0.0,3.1403351728647033,0.24461870081763712,0.0003076032202080569,0.00015380161010402846,0.0003076032202080569,0.0,-0.24461850741505142,0.0,0.000144680406274021,3.141182107087238,3.1403351728647033,-0.06473775104950047,-0.19836838210640473
0.5,1.0,0.5,0.7853981633974483,0.02533794840459179,0.0006420116293537556,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.001571353416432264,0.0009530740243103541,0.0012314486046565375,0.0017361111111111106,0.9999989953072812,3.1399523317938716,0.2445276630029802,0.0004011038754574779,0.00020055193772873896,0.0004011038754574779,0.0,-0.24452733403319177,0.0,3.1365664057588787,0.24372636970393038,0.0012250239790482329,0.0006125119895241164,0.0012250239790482329,0.0,-0.24372329106039026,0.0,0.0005756147668390056,3.1399523317938716,3.1365664057588787,-0.12918155238974402,-0.39611613088071446
0.5,1.0,0.5,0.7853981633974483,0.038006922606887684,0.0014445261660459502,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.0035355451869725943,0.002144416554698297,0.00277075936047721,0.003906249999999999,0.9999949137680231,3.1379089115779615,0.244043235354074,0.0008989902855642965,0.00044949514278214825,0.0008989902855642965,0.0,-0.24404157952805994,0.0,3.1302984027782212,0.24226417368673572,0.0027361341691518426,0.0013680670845759213,0.0027361341691518426,0.0,-0.242248722229706,0.0,0.0012834947352116503,3.1379089115779615,3.1302984027782212,-0.19303885143492208,-0.5924643725418449
0.5,1.0,0.5,0.7853981633974483,0.05067589680918358,0.0025680465174150223,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.006285413665729056,0.0038122960972414165,0.00492579441862615,0.006944444444444442,0.999983925207204,3.135061123336132,0.24337299756586453,0.0015895867942722752,0.0007947933971361376,0.0015895867942722752,0.0,-0.24336780633029048,0.0,3.1215545740558546,0.24026906895252695,0.004814208527572835,0.0024071042637864174,0.004814208527572835,0.0,-0.24022083359185814,0.0,0.002252866104505029,3.135061123336132,3.1215545740558546,-0.2560199365116895,-0.7863323923021734
0.5,1.0,0.5,0.7853981633974483,0.06334487101147948,0.004012572683460973,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.009820958852701652,0.005956712651939715,0.007696553779103362,0.010850694444444444,0.9999607559915544,3.1314218916360814,0.2425246763336184,0.002466618224070469,0.0012333091120352345,0.002466618224070469,0.0,-0.2425121325320922,0.0,3.1103743531932095,0.23779153959221008,0.007422241980078794,0.003711120990039397,0.007422241980078794,0.0,-0.23767567529224098,0.0,0.0034622797924208568,3.1314218916360814,3.1103743531932095,-0.31783946999286133,-0.9762238187415223
0.5,1.0,0.5,0.7853981633974483,0.07601384521377537,0.005778104664183801,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.014142180747890377,0.008577666218793188,0.01108303744190884,0.015624999999999997,0.9999186277381674,3.12700772324451,0.24150788223617353,0.0035222507615085795,0.0017611253807542897,0.0035222507615085795,0.0,-0.2414821958898306,0.0,3.0968190653052483,0.23489414675637985,0.010513540291756798,0.005256770145878399,0.010513540291756798,0.0,-0.23465874296718908,0.0,0.004884609479867954,3.12700772324451,3.0968190653052483,-0.378218145730245,-1.1601581770166043
0.5,1.0,0.5,0.7853981633974483,0.08868281941607126,0.007864642459583505,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.01924907935129523,0.011675156797801836,0.015085245407042584,0.0212673611111111,0.9998492603889139,3.121838619773888,0.24033388519955917,0.00474725493418135,0.002373627467090675,0.00474725493418135,0.0,-0.24028699495749822,0.0,3.0809783251627976,0.23164946682762447,0.014032680273192263,0.007016340136596131,0.014032680273192263,0.0,-0.23122404582108896,0.0,0.006487606854139037,3.121838619773888,3.0809783251627976,-0.4368844945597156,-1.3356627197974311
0.5,1.0,0.5,0.7853981633974483,0.10135179361836716,0.01027218606966009,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.025141654662916225,0.015249184388965666,0.0197031776745046,0.02777777777777777,0.9997428777123486,3.1159379664625897,0.23901535895703346,0.006131191647107167,0.0030655958235535834,0.006131191647107167,0.0,-0.23893670774149794,0.0,3.0629761122250843,0.22813739719313308,0.017916903721750404,0.008958451860875202,0.017916903721750404,0.0,-0.22743275172912736,0.0,0.008234743666941744,3.1159379664625897,3.0629761122250843,-0.4935768477090718,-1.4998363674819066
0.5,1.0,0.5,0.7853981633974483,0.11402076782066306,0.013000735494413553,ordered,0.608110761710203,1.5202769042755073,0.0,2.704173930398532,2.4475466558354673,1.4845120878413243,1.9181094988826062,1.865174681370263e-14,0.03181990668275335,0.019299748992284673,0.02493683424429489,0.03515624999999999,0.9995882162737154,3.1093323950729346,0.23756610401567294,0.007662614657473119,0.0038313073287365596,0.007662614657473119,0.0,-0.23744249433030434,0.0,3.0429755486682106,0.22444190430496821,0.022097951818905063,0.011048975909452531,0.022097951818905063,0.0,-0.22335140235389134,0.0,0.010086350083800743,3.1093323950729346,3.0429755486682106,-0.5480454520091159,-1.6494910044482005
