lambda,trace_distance_to_tau,trace_distance_to_ultrastrong,coherence_hs_basis,coherence_x_basis,expect_sigma_z,expect_x
0.0,1.1102230246251565e-16,0.11238574846349796,0.0,0.22393726166405703,-0.9051482536448664,-0.8770093864462084
0.125,0.0216491397829411,0.09074649623099496,0.04289459842398679,0.18091679535376176,-0.8992495724863192,-0.8819063744807086
0.25,0.05381955989267494,0.058595897027696714,0.10658856959712833,0.11695074364212445,-0.890146355784828,-0.8888442953899887
0.375,0.07322669892556849,0.03920304157448534,0.144951230238957,0.07831597819026564,-0.8842260502629019,-0.8925991119597985
0.5,0.08338671757229087,0.029048034581095478,0.16498953724202722,0.058058109346893094,-0.8808206711388772,-0.894257154315214
0.625,0.08916070054265898,0.02327363015772479,0.1763508452408847,0.04652818183399987,-0.8787115089917069,-0.8950243934926463
0.75,0.0928599257396103,0.01957192514750725,0.18361565839189872,0.039132773449599874,-0.8772707855608867,-0.8954258022010801
0.875,0.09546801236106564,0.01696085141919188,0.18873027371505288,0.03391460203894173,-0.8762095370159013,-0.8956629213843337
1.0,0.09743068924903324,0.014995242711962894,0.192575174913842,0.029985619954221762,-0.8753865528018387,-0.8958167655359796
1.125,0.09897334456310686,0.013449884269562815,0.1955948703897294,0.026896274887036685,-0.8747255908216544,-0.895923435879578
1.25,0.1002230776752986,0.012197712089795972,0.19803967036135092,0.024392826350804427,-0.8741813332619287,-0.8960009511619142
1.375,0.10125830957528673,0.011160294202096632,0.20006383576050454,0.022318602943561767,-0.8737246533900856,-0.896059254895277
1.5,0.10213083549936551,0.010285810549819165,0.20176915339034937,0.020570069306380098,-0.8733356935571355,-0.8961042892149952
1.625,0.1028766237928633,0.009538265650178158,0.20322625020363605,0.019075295501461996,-0.8730003124939557,-0.8961398258574982
1.75,0.1035216027778117,0.008891705710714536,0.2044860037889395,0.017782411400849685,-0.8727081053533138,-0.8961683707539068
1.875,0.10408500846661006,0.008326872113858023,0.20558613754288277,0.01665292372166663,-0.8724512201375889,-0.8961916489238723
2.0,0.10458144377436832,0.007829142356968053,0.20655527424485545,0.015657603294913832,-0.8722236092374018,-0.8962108821524911
2.125,0.10502220737809556,0.00738720096590842,0.2074155500891368,0.014773829939784286,-0.8720205348660008,-0.8962269565214359
2.25,0.10541618404337535,0.006992148825690489,0.20818436496311132,0.013983812925355228,-0.8718382308593263,-0.8962405277485963
