lambda,g,g2,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_v4,d_exact_hmf_sym,d_exact_hmf_eq67,d_exact_hmf_ord,d_exact_hmf_collapsed_direct,d_sym_eq67,d_sym_ord,d_eq67_ord,d_eq67_collapsed_direct,d_exact_eq67_xonly,d_exact_eq67_zonly,d_exact_us,d_weak_tau,d_us_projector_vs_closed,q_reorg,alpha0,delta_x0,delta_y0,delta_z0,kernel_eff_v4,kernel_base_v4,kernel_scale_v4,delta_sign_x_v4,delta_sign_z_v4,lambda_paper_v4,sym_nonherm_maxabs,eq67_nonherm_maxabs,collapsed_direct_nonherm_maxabs,eq67_xonly_nonherm_maxabs,eq67_zonly_nonherm_maxabs,delta_x_amp_eq67,delta_z_amp_eq67,hx_v4,hy_v4,hz_v4,phi_v4,hx_v4_rot,hy_v4_rot,hx_eq67,hy_eq67,hz_eq67,phi_eq67,hx_eq67_rot,hy_eq67_rot,hx_num_lab,hy_num_lab,hz_num,hx_ord,hy_ord,hz_ord,hx_num_rot,hy_num_rot,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,sym_bloch_x,sym_bloch_y,sym_bloch_z,sym_coherence_hs,eq67_bloch_x,eq67_bloch_y,eq67_bloch_z,eq67_coherence_hs,ord_bloch_x,ord_bloch_y,ord_bloch_z,ord_coherence_hs,collapsed_direct_bloch_x,collapsed_direct_bloch_y,collapsed_direct_bloch_z,collapsed_direct_coherence_hs,eq67_xonly_bloch_x,eq67_xonly_bloch_y,eq67_xonly_bloch_z,eq67_xonly_coherence_hs,eq67_zonly_bloch_x,eq67_zonly_bloch_y,eq67_zonly_bloch_z,eq67_zonly_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs,res_sym_minus_exact_bloch_x,res_eq67_minus_exact_bloch_x,res_ord_minus_exact_bloch_x,res_sym_minus_ord_bloch_x,res_eq67_minus_ord_bloch_x,res_sym_minus_exact_bloch_y,res_eq67_minus_exact_bloch_y,res_ord_minus_exact_bloch_y,res_sym_minus_ord_bloch_y,res_eq67_minus_ord_bloch_y,res_sym_minus_exact_bloch_z,res_eq67_minus_exact_bloch_z,res_ord_minus_exact_bloch_z,res_sym_minus_ord_bloch_z,res_eq67_minus_ord_bloch_z
0.0,0.0,0.0,1.1102230246251565e-16,6.591949208711867e-17,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,6.245004513516506e-17,3.469446951953614e-18,6.591949208711867e-17,2.0816681711721685e-17,6.591949208711867e-17,6.591949208711867e-17,1.734723475976807e-17,6.591949208711867e-17,6.591949208711867e-17,0.11238574846349797,6.591949208711867e-17,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.0,275.1428437036148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.5000000000000004,-3.141592653589793,0.0,0.0,-0.0,-0.0,1.5000000000000004,-3.141592653589793,0.0,0.0,-0.0,-0.0,1.5000000000000004,-0.0,-0.0,1.5000000000000009,0.0,0.0,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448666,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
0.01,0.01,0.0001,0.00017193915586531845,0.0014193702965292214,0.0012417549860483275,0.0012417549860483275,0.0012417549860483275,0.003127232985802796,0.00013474671394804035,0.00011808453235552062,0.001892981974921026,0.0011128511117787072,0.0029951226014188473,0.003011387054934645,0.0031274337809094437,0.0002443273775222907,0.11221387917230487,0.001590129233405152,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.02751428437036148,275.1428437036148,1.0,1.0,1.0,0.0001,2.168404344971009e-19,0.005960749735336926,9.75781955236954e-19,0.005969841644429888,0.0,0.006595525301784879,-0.001684114102019706,-0.004642866402855375,-0.0,1.5017009339020202,-3.141592653589793,0.004642866402855375,-5.685871479125621e-19,-0.010922479074975637,-0.0,1.5017773128281344,-3.141592653589793,0.010922479074975637,-1.3376179037922858e-18,-0.0005645926810267799,-0.0,1.4997435648515034,-0.0010068100841959574,-0.0,1.4995393539384332,0.0005645926810267799,-6.914266196414686e-20,0.0003407341740480846,0.0,-0.9051018584305176,0.0003407341740480846,0.0,0.0,-0.9051482536448666,0.0,0.003179296350855861,0.0,-0.9050700319780904,0.003179296350855861,0.002799421053480973,0.0,-0.905452116350354,0.002799421053480973,0.002799421053480973,0.0,-0.905452116350354,0.002799421053480973,0.006585385003323025,0.0,-0.9054521163503539,0.006585385003323025,0.0006076722158619109,0.0,-0.9050648342558235,0.0006076722158619109,0.0005747447611431817,0.0,-0.9050700013707993,0.0005747447611431817,0.006595429666234708,0.0,-0.9051482536448665,0.006595429666234708,0.0,0.0,-0.9054521207497349,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0024586868794328883,0.00624465082927494,0.0002669380418138263,0.002191748837619062,0.005977712787461114,0.0,0.0,0.0,0.0,0.0,-0.0003502579198364497,-0.0003502579198363387,3.702417469408914e-05,-0.00038728209453053886,-0.00038728209453042783
0.02,0.02,0.0004,0.0006846110954212897,0.0056806048443392675,0.004943177113785592,0.004943177113785592,0.004943177113785592,0.01244907595826104,0.0005360032146881067,0.0004768376855759311,0.007535775727864646,0.00443043845006208,0.011923574591949085,0.011981279694229973,0.012509983136991334,0.0009728573825257447,0.11170141628932317,0.006360516933620601,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.11005713748144592,275.1428437036148,1.0,1.0,1.0,0.0004,0.0,0.023729160536407987,3.903127820947816e-18,0.023874174162241146,0.0,0.026382101207139515,-0.006736456408078824,-0.018529540414430487,-0.0,1.5070048917325167,-3.141592653589793,0.018529540414430487,-2.269214235820382e-18,-0.04362455089025483,-0.0,1.5082316058534557,-3.141592653589793,0.04362455089025483,-5.34246666119914e-18,-0.002247236073799423,-0.0,1.4989823966386033,-0.004004538209830146,-0.0,1.4981772306192649,0.002247236073799423,-2.7520704647069284e-19,0.001356698112253022,0.0,-0.9049634844913131,0.001356698112253022,0.0,0.0,-0.9051482536448666,0.0,0.012717185403423443,0.0,-0.9048353669777628,0.012717185403423443,0.011144220867594536,0.0,-0.9063579012965356,0.011144220867594536,0.011144220867594536,0.0,-0.9063579012965356,0.011144220867594536,0.026215772323323828,0.0,-0.9063579012965356,0.026215772323323828,0.002418519261829814,0.0,-0.9048160611860478,0.002418519261829814,0.002301662342361989,0.0,-0.9048348792139868,0.002301662342361989,0.026375982129009483,0.0,-0.9051482536448665,0.026375982129009483,0.0,0.0,-0.9063581802212659,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.009787522755341515,0.024859074211070805,0.001061821149576792,0.008725701605764722,0.023797253061494016,0.0,0.0,0.0,0.0,0.0,-0.0013944168052224537,-0.0013944168052224537,0.0001474233052652929,-0.0015418401104877466,-0.0015418401104877466
0.03,0.03,0.0009,0.001528713184311548,0.012792941685173703,0.011026273560590497,0.011026273560590497,0.011026273560590497,0.027770989991978193,0.0011946887238809898,0.0010895694658150296,0.016811402238930226,0.009883533048988204,0.02659976548904094,0.026702089089474426,0.02813108916134697,0.002172392220451827,0.11085766084228511,0.014311163100646349,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.2476285593332533,275.1428437036148,1.0,1.0,1.0,0.0009,1.734723475976807e-18,0.05293688094971251,9.107298248878237e-18,0.0536663361865226,0.0,0.0593597277160639,-0.015157026918177354,-0.04152966002738377,-0.0,1.5165099792070302,-3.141592653589793,0.04152966002738377,-5.085916522221332e-18,-0.0980994500164637,-0.0,1.5227917781032787,-3.141592653589793,0.0980994500164637,-1.2013717746077803e-17,-0.005015075697795469,-0.0,1.4977403372773983,-0.00892555277022863,-0.0,1.4959717135124837,0.005015075697795469,-6.1416964007869e-19,0.003029441800606986,0.0,-0.9047355329447716,0.003029441800606986,0.0,0.0,-0.9051482536448666,0.0,0.02861366715770275,0.0,-0.9044442586438832,0.02861366715770275,0.02486140596672183,0.0,-0.90784683093458,0.02486140596672183,0.02486140596672183,0.0,-0.90784683093458,0.02486140596672183,0.05848421044458228,0.0,-0.90784683093458,0.05848421044458228,0.00539604259895754,0.0,-0.9044064049315,0.00539604259895754,0.005188694200560139,0.0,-0.9044418059343651,0.005188694200560139,0.05929010631177611,0.0,-0.9051482536448666,0.05929010631177611,0.0,0.0,-0.9078499565213991,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.021831964166114846,0.0554547686439753,0.002366600798350554,0.01946536336776429,0.05308816784562474,0.0,0.0,0.0,0.0,0.0,-0.0031112979898083593,-0.0031112979898083593,0.0003291280132715624,-0.0034404260030799216,-0.0034404260030799216
0.04,0.04,0.0016,0.0026891773136654713,0.02277134457609576,0.019340893768977945,0.019340893768977945,0.019340893768977945,0.04872207175463748,0.00209530100893569,0.001977841881539921,0.029498338228713655,0.01733697106882591,0.04666806823955001,0.046781780658451545,0.049905987091313234,0.003821454739498736,0.10969767828133503,0.025442067734482404,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.4402285499257837,275.1428437036148,1.0,1.0,1.0,0.0016,0.0,0.09288636348321266,1.734723475976807e-17,0.0951658499488093,0.0,0.10552840482855806,-0.026945825632315297,-0.07341143297046515,-0.0,1.531193654935132,-3.141592653589793,0.07341143297046515,-8.990307640810062e-18,-0.17499458808462745,-0.0,1.5515939991099001,-3.141592653589793,0.17499458808462745,-2.1430656216594856e-17,-0.008815133169932335,-0.0,1.4960552936288083,-0.0156588178187248,-0.0,1.4930151481586966,0.008815133169932335,-1.0795424620615295e-18,0.005329080736138043,0.0,-0.9044218949145861,0.005329080736138043,0.0,0.0,-0.9051482536448666,0.0,0.050868741613693785,0.0,-0.9038967069764519,0.050868741613693785,0.043623378444271145,0.0,-0.9098833462026992,0.043623378444271145,0.043623378444271145,0.0,-0.9098833462026992,0.043623378444271145,0.10262005490169845,0.0,-0.9098833462026992,0.10262005490169845,0.009479554432720314,0.0,-0.9038433507363539,0.009479554432720314,0.009248709338030823,0.0,-0.9038890293999227,0.009248709338030823,0.10513841192930974,0.0,-0.9051482536448665,0.10513841192930974,0.0,0.0,-0.9099004863222266,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0382942977081331,0.09729097416556041,0.004150473696582271,0.03414382401155083,0.09314050046897814,0.0,0.0,0.0,0.0,0.0,-0.0054614512881130395,-0.0054614512881130395,0.0005785441782322209,-0.00603999546634526,-0.00603999546634526
0.05,0.05,0.0025000000000000005,0.004145789781402041,0.035635887769511314,0.02963965195289183,0.02963965195289183,0.02963965195289183,0.07469710148606815,0.0032155758959519377,0.0031705622559706,0.0452375830217518,0.026564938674326972,0.07154520283920612,0.07158682594127364,0.0775991971827298,0.005891035059299415,0.10824167862609871,0.039753230835128765,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.6878571092590371,275.1428437036148,1.0,1.0,1.0,0.0025000000000000005,6.938893903907228e-18,0.14244716251745562,2.2551405187698492e-17,0.1479101633393451,0.0,0.16488813254462198,-0.042102852550492655,-0.11382269569299212,-0.0,1.5523787126821804,-3.141592653589793,0.11382269569299212,-1.3939259995074604e-17,-0.276841382441332,-0.0,1.6050437515969587,-3.141592653589793,0.276841382441332,-3.390329128783055e-17,-0.0135767995287538,-0.0,1.4939767234533479,-0.02405272809253979,-0.0,1.4894277402548,0.0135767995287538,-1.6626784085553634e-18,0.008215525674934906,0.0,-0.9040277941271705,0.008215525674934906,0.0,0.0,-0.9051482536448666,0.0,0.07948240877139656,0.0,-0.9031927119754685,0.07948240877139656,0.06689923306056243,0.0,-0.9124098200775184,0.06689923306056243,0.06689923306056243,0.0,-0.9124098200775184,0.06689923306056243,0.15737439910406603,0.0,-0.9124098200775184,0.15737439910406603,0.014584741286221291,0.0,-0.9031373976607275,0.014584741286221291,0.014498935890030144,0.0,-0.9031742039768182,0.014498935890030144,0.16340987539194596,0.0,-0.9051482536448666,0.16340987539194596,0.0,0.0,-0.9124730480703072,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.058683707385627525,0.14915887342913112,0.006369215611286385,0.05231449177434114,0.14278965781784475,0.0,0.0,0.0,0.0,0.0,-0.008382025950347871,-0.008382025950347871,0.0008903964664429553,-0.009272422416790826,-0.009272422416790826
0.06,0.06,0.0036,0.005873994225280794,0.05141095906099165,0.04155392226810132,0.04155392226810132,0.04155392226810132,0.104801331349455,0.004526373414267716,0.004702760875047214,0.06350140233686888,0.0372271151953864,0.10036513711153422,0.10018821181942171,0.11072043132854267,0.008345574886917808,0.10651421357214447,0.0572446524025854,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.9905142373330132,275.1428437036148,1.0,1.0,1.0,0.0036,6.938893903907228e-18,0.19995751263759742,3.469446951953614e-17,0.21096764585630381,0.0,0.2374389108642556,-0.060628107672709416,-0.162270551459622,-0.0,1.5816770829723104,-3.141592653589793,0.162270551459622,-1.9872411144090194e-17,-0.4110717231342236,-0.0,1.7032671390369882,-3.141592653589793,0.4110717231342236,-5.034176699563139e-17,-0.019215003460496545,-0.0,1.4915625328097395,-0.03391955743747489,-0.0,1.4853492233920205,0.019215003460496545,-2.353159248350241e-18,0.01164007551168239,0.0,-0.9035595829058963,0.01164007551168239,0.0,0.0,-0.9051482536448666,0.0,0.11445466863081102,0.0,-0.9023322736409335,0.11445466863081102,0.09390853425047171,0.0,-0.915341540306844,0.09390853425047171,0.09390853425047171,0.0,-0.915341540306844,0.09390853425047171,0.22091133892420947,0.0,-0.915341540306844,0.22091133892420947,0.020605042176329302,0.0,-0.9023019669695597,0.020605042176329302,0.02096012991040591,0.0,-0.9022945037003389,0.02096012991040591,0.23307523933982707,0.0,-0.9051482536448664,0.23307523933982707,0.0,0.0,-0.9155221546551041,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.08226845873878932,0.20927126341252708,0.008964966664646912,0.07330349207414241,0.20030629674788017,0.0,0.0,0.0,0.0,0.0,-0.011781957400947674,-0.011781957400947674,0.0012576159363366646,-0.013039573337284338,-0.013039573337284338
0.07,0.07,0.004900000000000001,0.00784582174625752,0.0701243365069017,0.05458248517349078,0.05458248517349078,0.05458248517349078,0.13782505709440218,0.005992029470427744,0.006614092363541516,0.08357924844115919,0.04885701355825469,0.1319533117666113,0.13133751250558073,0.14842023004667038,0.011144135685173497,0.10454324641803951,0.07791633243685236,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,1.3481999341477127,275.1428437036148,1.0,1.0,1.0,0.004900000000000001,1.3877787807814457e-17,0.26317999306152073,4.5102810375396984e-17,0.28275032485854074,0.0,0.3231807397874591,-0.08252159099896561,-0.21810641977565606,-0.0,1.62090616687847,-3.141592653589793,0.21810641977565606,-2.6710332885174617e-17,-0.6012527207786463,-0.0,1.8994747924723974,-3.141592653589793,0.6012527207786463,-7.363222199802066e-17,-0.025633791008875098,-0.0,1.4888757114277629,-0.04504171957332552,-0.0,1.4809293001645762,0.025633791008875098,-3.139234010903109e-18,0.015547262458568842,0.0,-0.9030245056512087,0.015547262458568842,0.0,0.0,-0.9051482536448666,0.0,0.15578552119193725,0.0,-0.9013153919728466,0.15578552119193725,0.1236004942572469,0.0,-0.9185644493035683,0.1236004942572469,0.1236004942572469,0.0,-0.9185644493035683,0.1236004942572469,0.29075899113956527,0.0,-0.9185644493035683,0.29075899113956527,0.027414202895513596,0.0,-0.9013531608741194,0.027414202895513596,0.02865544872837014,0.0,-0.9012467756688927,0.02865544872837014,0.31238012526672504,0.0,-0.9051482536448665,0.31238012526672504,0.0,0.0,-0.9189947802488043,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.10805323179867805,0.2752117286809964,0.011866940436944754,0.0961862913617333,0.26334478824405166,0.0,0.0,0.0,0.0,0.0,-0.015539943652359556,-0.015539943652359556,0.0016713447770893008,-0.017211288429448857,-0.017211288429448857
0.08,0.08,0.0064,0.010030887632197727,0.0918061989153098,0.06810537973759359,0.06810537973759359,0.06810537973759359,0.17227729568698444,0.007571336996059237,0.00894710251223458,0.10459766268873882,0.060874904265349805,0.16485934999230456,0.16350230690991005,0.18942123347217693,0.014241690358687706,0.10235915540260038,0.1017682709379296,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,1.7609141997031348,275.1428437036148,1.0,1.0,1.0,0.0064,4.163336342344337e-17,0.32936419810060424,6.591949208711867e-17,0.36089125051972853,0.0,0.42211361931423225,-0.10778330252926119,-0.2805251820317959,-0.0,1.6719758589516656,-3.141592653589793,0.2805251820317959,-3.435442662554674e-17,-0.9941884191351194,-0.0,2.518917268499866,-3.141592653589793,0.9941884191351194,-1.2175296652431912e-16,-0.032730047291768455,-0.0,1.4859810225976262,-0.05717980277931202,-0.0,1.4763177636355533,0.032730047291768455,-4.0082747651805736e-18,0.019876829311010043,0.0,-0.9024304450975106,0.019876829311010043,0.0,0.0,-0.9051482536448666,0.0,0.20347496645477514,0.0,-0.9001420669712079,0.20347496645477514,0.15468340584065687,0.0,-0.9219383389142138,0.15468340584065687,0.15468340584065687,0.0,-0.9219383389142138,0.15468340584065687,0.3638787312181345,0.0,-0.921938338914214,0.3638787312181345,0.034870209747397275,0.0,-0.9003093324834937,0.034870209747397275,0.037608991493582225,0.0,-0.9000277387507645,0.037608991493582225,0.3987095473768916,0.0,-0.9051482536448665,0.3987095473768916,0.0,0.0,-0.9228317841131715,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.13480657652964684,0.3440019019071245,0.014993380436387233,0.1198131960932596,0.3290085214707372,0.0,0.0,0.0,0.0,0.0,-0.01950789381670326,-0.01950789381670337,0.002121112614016929,-0.021629006430720188,-0.0216290064307203
0.09,0.09,0.0081,0.012397395251057135,0.11648812907916917,0.08143114848748025,0.08143114848748025,0.08143114848748025,0.20120017412192515,0.009219191684752548,0.011745300915429403,0.1210766633528684,0.07263346605371608,0.19208571929329493,0.18957816467983551,0.22549286370157706,0.017590476345654957,0.09999372988274718,0.12880046790581712,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,2.22865703399928,275.1428437036148,1.0,1.0,1.0,0.0081,1.3877787807814457e-17,0.3954508437413304,8.673617379884035e-17,0.44226777146441565,0.0,0.5342375494445752,-0.1364132422635962,-0.34858723315166434,-0.0,1.7367511770070718,-3.141592653589793,0.34858723315166434,-4.268962393028179e-17,-7.029899407061585,-0.0,14.888888904717732,-3.141592653589793,7.029899407061585,-8.609143807185846e-16,-0.0403971153393618,-0.0,1.4829420125697694,-0.0700820308611677,-0.0,1.471655298303316,0.0403971153393618,-4.9472197995135875e-18,0.024565720888976805,0.0,-0.9017856663599586,0.024565720888976805,0.0,0.0,-0.9051482536448666,0.0,0.25752300441932474,0.0,-0.8988122986360172,0.25752300441932474,0.18572049939011917,0.0,-0.9253072552137747,0.18572049939011917,0.18572049939011917,0.0,-0.9253072552137747,0.18572049939011917,0.4269583923397558,0.0,-0.9042712708090704,0.4269583923397558,0.04282055300653764,0.0,-0.8991904620056714,0.04282055300653764,0.04784396911714885,0.0,-0.8986342327491155,0.04784396911714885,0.4750236384020089,0.0,-0.8799730353592192,0.4750236384020089,0.0,0.0,-0.9269694863536188,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.16115477850114238,0.402392671450779,0.018254832117560838,0.14289994638358153,0.38413783933321816,0.0,0.0,0.0,0.0,0.0,-0.023521588853816056,-0.0024856044491118334,0.0025952043542871728,-0.02611679320810323,-0.005080808803399006
