lambda,g,g2,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_v4,d_exact_hmf_sym,d_exact_hmf_eq67,d_exact_hmf_ord,d_exact_hmf_collapsed_direct,d_sym_eq67,d_sym_ord,d_eq67_ord,d_eq67_collapsed_direct,d_exact_eq67_xonly,d_exact_eq67_zonly,d_exact_us,d_weak_tau,d_us_projector_vs_closed,q_reorg,alpha0,delta_x0,delta_y0,delta_z0,kernel_eff_v4,kernel_base_v4,kernel_scale_v4,delta_sign_x_v4,delta_sign_z_v4,lambda_paper_v4,sym_nonherm_maxabs,eq67_nonherm_maxabs,collapsed_direct_nonherm_maxabs,eq67_xonly_nonherm_maxabs,eq67_zonly_nonherm_maxabs,delta_x_amp_eq67,delta_z_amp_eq67,hx_v4,hy_v4,hz_v4,phi_v4,hx_v4_rot,hy_v4_rot,hx_eq67,hy_eq67,hz_eq67,phi_eq67,hx_eq67_rot,hy_eq67_rot,hx_num_lab,hy_num_lab,hz_num,hx_ord,hy_ord,hz_ord,hx_num_rot,hy_num_rot,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,sym_bloch_x,sym_bloch_y,sym_bloch_z,sym_coherence_hs,eq67_bloch_x,eq67_bloch_y,eq67_bloch_z,eq67_coherence_hs,ord_bloch_x,ord_bloch_y,ord_bloch_z,ord_coherence_hs,collapsed_direct_bloch_x,collapsed_direct_bloch_y,collapsed_direct_bloch_z,collapsed_direct_coherence_hs,eq67_xonly_bloch_x,eq67_xonly_bloch_y,eq67_xonly_bloch_z,eq67_xonly_coherence_hs,eq67_zonly_bloch_x,eq67_zonly_bloch_y,eq67_zonly_bloch_z,eq67_zonly_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs,res_sym_minus_exact_bloch_x,res_eq67_minus_exact_bloch_x,res_ord_minus_exact_bloch_x,res_sym_minus_ord_bloch_x,res_eq67_minus_ord_bloch_x,res_sym_minus_exact_bloch_y,res_eq67_minus_exact_bloch_y,res_ord_minus_exact_bloch_y,res_sym_minus_ord_bloch_y,res_eq67_minus_ord_bloch_y,res_sym_minus_exact_bloch_z,res_eq67_minus_exact_bloch_z,res_ord_minus_exact_bloch_z,res_sym_minus_ord_bloch_z,res_eq67_minus_ord_bloch_z
0.0,0.0,0.0,1.1102230246251565e-16,6.591949208711867e-17,6.938893903907228e-17,6.938893903907228e-17,6.938893903907228e-17,6.245004513516506e-17,3.469446951953614e-18,6.591949208711867e-17,2.0816681711721685e-17,6.591949208711867e-17,6.591949208711867e-17,1.734723475976807e-17,6.591949208711867e-17,6.591949208711867e-17,0.11238574846349797,6.591949208711867e-17,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.0,275.1428437036148,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.5000000000000004,-3.141592653589793,0.0,0.0,-0.0,-0.0,1.5000000000000004,-3.141592653589793,0.0,0.0,-0.0,-0.0,1.5000000000000004,-0.0,-0.0,1.5000000000000009,0.0,0.0,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448666,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448665,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
0.01,0.01,0.0001,0.00017193915586531845,0.0014193702965292214,0.0005392365496960132,0.0005392365496960132,0.0005392365496960132,0.0014805805369319906,0.00013474671394804035,0.00011808453235552062,0.0009472227938774597,0.00041366818368858904,0.0013489307759299248,0.0013651120751106776,0.0014786902336816417,0.00019715478172840207,0.11221387917230487,0.001590129233405152,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.01375714218518074,275.1428437036148,0.5,1.0,1.0,0.0001,2.168404344971009e-19,0.0029826792292334077,9.75781955236954e-19,0.002984953283705443,0.0,0.0032977626508924394,-0.000842057051009853,-0.002322295224556516,-0.0,1.5008462637410875,-3.141592653589793,0.002322295224556516,-2.843991413428321e-19,-0.005463059090809806,-0.0,1.5008653506323313,-3.141592653589793,0.005463059090809806,-6.690317829113078e-19,-0.0005645926810267799,-0.0,1.4997435648515034,-0.0010068100841959574,-0.0,1.4995393539384332,0.0005645926810267799,-6.914266196414686e-20,0.0003407341740480846,0.0,-0.9051018584305176,0.0003407341740480846,0.0,0.0,-0.9051482536448666,0.0,0.003179296350855861,0.0,-0.9050700319780904,0.003179296350855861,0.001400792752729861,0.0,-0.9053003024676551,0.001400792752729861,0.001400792752729861,0.0,-0.9053003024676551,0.001400792752729861,0.0032952383404847804,0.0,-0.9053003024676554,0.0032952383404847804,0.0006076722158619109,0.0,-0.9050648342558235,0.0006076722158619109,0.0005747447611431817,0.0,-0.9050700013707993,0.0005747447611431817,0.0032977506962926597,0.0,-0.9051482536448665,0.0032977506962926597,0.0,0.0,-0.9053003030184239,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0010600585786817763,0.0029545041664366957,0.0002669380418138263,0.0007931205368679501,0.0026875661246228695,0.0,0.0,0.0,0.0,0.0,-0.0001984440371375351,-0.00019844403713775716,3.702417469408914e-05,-0.00023546821183162425,-0.0002354682118318463
0.02,0.02,0.0004,0.0006846110954212897,0.0056806048443392675,0.002153370731136359,0.002153370731136359,0.002153370731136359,0.005909990903963266,0.0005360032146881067,0.0004768376855759311,0.0037800357404750725,0.0016538156538661321,0.005386313331100769,0.005443718529677345,0.005917514923985619,0.0007853702276532494,0.11170141628932317,0.006360516933620601,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.05502856874072296,275.1428437036148,0.5,1.0,1.0,0.0004,4.336808689942018e-19,0.011902832323874053,3.903127820947816e-18,0.011939163938899938,0.0,0.013191050603569758,-0.003368228204039412,-0.00927879725753291,-0.0,1.5034354512450891,-3.141592653589793,0.00927879725753291,-1.1363249361374917e-18,-0.02183197198753378,-0.0,1.5037412762607771,-3.141592653589793,0.02183197198753378,-2.673645461360792e-18,-0.002247236073799423,-0.0,1.4989823966386033,-0.004004538209830146,-0.0,1.4981772306192649,0.002247236073799423,-2.7520704647069284e-19,0.001356698112253022,0.0,-0.9049634844913131,0.001356698112253022,0.0,0.0,-0.9051482536448666,0.0,0.012717185403423443,0.0,-0.9048353669777628,0.012717185403423443,0.005590075222579941,0.0,-0.905755027455794,0.005590075222579941,0.005590075222579941,0.0,-0.905755027455794,0.005590075222579941,0.013150146703530086,0.0,-0.9057550274557941,0.013150146703530086,0.002418519261829814,0.0,-0.9048160611860478,0.002418519261829814,0.002301662342361989,0.0,-0.9048348792139868,0.002301662342361989,0.013190285559103843,0.0,-0.9051482536448666,0.013190285559103843,0.0,0.0,-0.905755062541884,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.0042333771103269194,0.011793448591277064,0.001061821149576792,0.0031715559607501274,0.010731627441700272,0.0,0.0,0.0,0.0,0.0,-0.000791542964480807,-0.000791542964480918,0.0001474233052652929,-0.0009389662697460999,-0.0009389662697462109
0.03,0.03,0.0009,0.001528713184311548,0.012792941685173703,0.004830738632055105,0.004830738632055105,0.004830738632055105,0.013249203312557465,0.0011946887238809898,0.0010895694658150296,0.008470779593513236,0.0037170689322462264,0.012082011437863489,0.01218378249945512,0.01332245341527626,0.0017550301186552999,0.11085766084228511,0.014311163100646349,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.12381427966662666,275.1428437036148,0.5,1.0,1.0,0.0009,8.673617379884035e-19,0.02667336397761422,9.107298248878237e-18,0.026856791404270008,0.0,0.02967986385803195,-0.007578513459088677,-0.020837770358046088,-0.0,1.5079181053888895,-3.141592653589793,0.020837770358046088,-2.551890877034874e-18,-0.0490694847565169,-0.0,1.5094719951870985,-3.141592653589793,0.0490694847565169,-6.009278744287827e-18,-0.005015075697795469,-0.0,1.4977403372773983,-0.00892555277022863,-0.0,1.4959717135124837,0.005015075697795469,-6.1416964007869e-19,0.003029441800606986,0.0,-0.9047355329447716,0.003029441800606986,0.0,0.0,-0.9051482536448666,0.0,0.02861366715770275,0.0,-0.9044442586438832,0.02861366715770275,0.01252694375733149,0.0,-0.9065079887289684,0.01252694375733149,0.01252694375733149,0.0,-0.9065079887289684,0.01252694375733149,0.029468502944357964,0.0,-0.9065079887289682,0.029468502944357964,0.00539604259895754,0.0,-0.9044064049315,0.00539604259895754,0.005188694200560139,0.0,-0.9044418059343651,0.005188694200560139,0.02967115198656422,0.0,-0.9051482536448665,0.02967115198656422,0.0,0.0,-0.9065083852359351,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.009497501956724504,0.026439061143750976,0.002366600798350554,0.00713090115837395,0.024072460345400424,0.0,0.0,0.0,0.0,0.0,-0.0017724557841968247,-0.0017724557841966027,0.0003291280132715624,-0.002101583797468387,-0.002101583797468165
0.04,0.04,0.0016,0.0026891773136654713,0.02277134457609576,0.008548866472519494,0.008548866472519494,0.008548866472519494,0.023426593133166522,0.00209530100893569,0.001977841881539921,0.014969822703286468,0.006595160332408229,0.021379579797078274,0.021492612017711788,0.02369588827748066,0.003090532433629737,0.10969767828133503,0.025442067734482404,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.22011427496289185,275.1428437036148,0.5,1.0,1.0,0.0016,3.469446951953614e-18,0.04713799069342871,1.734723475976807e-17,0.047715153253411566,0.0,0.05276420241427903,-0.013472912816157648,-0.03694441819861838,-0.0,1.5145428801176295,-3.141592653589793,0.03694441819861838,-4.524386349329922e-18,-0.08719241815105597,-0.0,1.5194923519620662,-3.141592653589793,0.08719241815105597,-1.0677991579860827e-17,-0.008815133169932335,-0.0,1.4960552936288083,-0.0156588178187248,-0.0,1.4930151481586966,0.008815133169932335,-1.0795424620615295e-18,0.005329080736138043,0.0,-0.9044218949145861,0.005329080736138043,0.0,0.0,-0.9051482536448666,0.0,0.050868741613693785,0.0,-0.9038967069764519,0.050868741613693785,0.022138000994016846,0.0,-0.9075512193822858,0.022138000994016846,0.022138000994016846,0.0,-0.9075512193822858,0.022138000994016846,0.05207764640058978,0.0,-0.9075512193822858,0.05207764640058978,0.009479554432720314,0.0,-0.9038433507363539,0.009479554432720314,0.009248709338030823,0.0,-0.9038890293999227,0.009248709338030823,0.052715290629210605,0.0,-0.9051482536448665,0.052715290629210605,0.0,0.0,-0.9075534219224518,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.016808920257878803,0.046748565664451736,0.004150473696582271,0.012658446561296532,0.04259809196786947,0.0,0.0,0.0,0.0,0.0,-0.0031293244676996457,-0.0031293244676996457,0.0005785441782322209,-0.0037078686459318666,-0.0037078686459318666
0.05,0.05,0.0025000000000000005,0.004145789781402041,0.035635887769511314,0.01327024994465175,0.01327024994465175,0.01327024994465175,0.03632880580312612,0.0032155758959519377,0.0031705622559706,0.023200664119495645,0.010271088521314054,0.03318746487453185,0.03322862433397082,0.03702536646296334,0.004770893353500999,0.10824167862609871,0.039753230835128765,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.34392855462951855,275.1428437036148,0.5,1.0,1.0,0.0025000000000000005,3.469446951953614e-18,0.07305582110241393,2.2551405187698492e-17,0.07445548708804828,0.0,0.08244406627231099,-0.021051426275246327,-0.05751819539578609,-0.0,1.5236528323668737,-3.141592653589793,0.05751819539578609,-7.043947388418146e-18,-0.1363953525635375,-0.0,1.5359157659079643,-3.141592653589793,0.1363953525635375,-1.6703613193551093e-17,-0.0135767995287538,-0.0,1.4939767234533479,-0.02405272809253979,-0.0,1.4894277402548,0.0135767995287538,-1.6626784085553634e-18,0.008215525674934906,0.0,-0.9040277941271705,0.008215525674934906,0.0,0.0,-0.9051482536448666,0.0,0.07948240877139656,0.0,-0.9031927119754685,0.07948240877139656,0.03431011412222579,0.0,-0.908872439433138,0.03431011412222579,0.03431011412222579,0.0,-0.908872439433138,0.03431011412222579,0.08071144236121708,0.0,-0.908872439433138,0.08071144236121708,0.014584741286221291,0.0,-0.9031373976607275,0.014584741286221291,0.014498935890030144,0.0,-0.9031742039768182,0.014498935890030144,0.08225778129519627,0.0,-0.9051482536448664,0.08225778129519627,0.0,0.0,-0.9088807140158979,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.02609458844729088,0.07249591668628218,0.006369215611286385,0.019725372836004496,0.06612670107499578,0.0,0.0,0.0,0.0,0.0,-0.00484464530596751,-0.00484464530596751,0.0008903964664429553,-0.005735041772410465,-0.005735041772410465
0.06,0.06,0.0036,0.005873994225280794,0.05141095906099165,0.018937141036322883,0.018937141036322883,0.018937141036322883,0.05178952609005999,0.004526373414267716,0.004702760875047214,0.033053935046486634,0.01471408944016971,0.04736788684572679,0.047191326473827996,0.05326829804542396,0.006770529958426804,0.10651421357214447,0.0572446524025854,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.4952571186665066,275.1428437036148,0.5,1.0,1.0,0.0036,0.0,0.1040824673401389,3.469446951953614e-17,0.10695668574876484,0.0,0.1187194554321278,-0.030314053836354708,-0.08244939609684561,-0.0,1.5356796045436014,-3.141592653589793,0.08244939609684561,-1.0097138902163425e-17,-0.19724935648405725,-0.0,1.5617653623092063,-3.141592653589793,0.19724935648405725,-2.4156079305207594e-17,-0.019215003460496545,-0.0,1.4915625328097395,-0.03391955743747489,-0.0,1.4853492233920205,0.019215003460496545,-2.353159248350241e-18,0.01164007551168239,0.0,-0.9035595829058963,0.01164007551168239,0.0,0.0,-0.9051482536448666,0.0,0.11445466863081102,0.0,-0.9023322736409335,0.11445466863081102,0.04888154398479558,0.0,-0.9104540929308693,0.04888154398479558,0.04888154398479558,0.0,-0.9104540929308693,0.04888154398479558,0.11498941407776885,0.0,-0.9104540929308692,0.11498941407776885,0.020605042176329302,0.0,-0.9023019669695597,0.020605042176329302,0.02096012991040591,0.0,-0.9022945037003389,0.02096012991040591,0.11816482583717065,0.0,-0.9051482536448664,0.11816482583717065,0.0,0.0,-0.9104783216460246,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.03724146847311319,0.10334933856608645,0.008964966664646912,0.028276501808466276,0.09438437190143954,0.0,0.0,0.0,0.0,0.0,-0.0068945100249729885,-0.0068945100249728775,0.0012576159363366646,-0.008152125961309653,-0.008152125961309542
0.07,0.07,0.004900000000000001,0.00784582174625752,0.0701243365069017,0.025466099522621355,0.025466099522621355,0.025466099522621355,0.06957785836403507,0.005992029470427744,0.006614092363541516,0.04438124868540512,0.01987393965368567,0.06372487734253457,0.0631111829000392,0.07233339011338674,0.009060167598432027,0.10454324641803951,0.07791633243685236,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.6740999670738563,275.1428437036148,0.5,1.0,1.0,0.004900000000000001,0.0,0.13975067901345853,4.5102810375396984e-17,0.14500335019040853,0.0,0.16159036989372955,-0.041260795499482805,-0.11159541028491674,-0.0,1.5511349642566126,-3.141592653589793,0.11159541028491674,-1.366649620049589e-17,-0.271046027791529,-0.0,1.6015236462996858,-3.141592653589793,0.271046027791529,-3.319356503565005e-17,-0.025633791008875098,-0.0,1.4888757114277629,-0.04504171957332552,-0.0,1.4809293001645762,0.025633791008875098,-3.139234010903109e-18,0.015547262458568842,0.0,-0.9030245056512087,0.015547262458568842,0.0,0.0,-0.9051482536448666,0.0,0.15578552119193725,0.0,-0.9013153919728466,0.15578552119193725,0.0656328499667205,0.0,-0.912272360729415,0.0656328499667205,0.0656328499667205,0.0,-0.912272360729415,0.0656328499667205,0.15439534733753074,0.0,-0.912272360729415,0.15439534733753074,0.027414202895513596,0.0,-0.9013531608741194,0.027414202895513596,0.02865544872837014,0.0,-0.9012467756688927,0.02865544872837014,0.16019845324399246,0.0,-0.9051482536448665,0.16019845324399246,0.0,0.0,-0.912331985314957,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.05008558750815166,0.13884808487896189,0.011866940436944754,0.03821864707120691,0.12698114444201714,0.0,0.0,0.0,0.0,0.0,-0.009247855078206246,-0.009247855078206246,0.0016713447770893008,-0.010919199855295547,-0.010919199855295547
0.08,0.08,0.0064,0.010030887632197727,0.0918061989153098,0.03274331661452917,0.03274331661452917,0.03274331661452917,0.08938860598979934,0.007571336996059237,0.00894710251223458,0.05699017859859805,0.02567543167822566,0.08199360012145512,0.08064161830261832,0.09406031162420972,0.011607813508612654,0.10235915540260038,0.1017682709379296,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.8804570998515674,275.1428437036148,0.5,1.0,1.0,0.0064,0.0,0.1794545307345412,6.591949208711867e-17,0.1882507598718669,0.0,0.21105680965711612,-0.053891651264630594,-0.1447771878479754,-0.0,1.5705991602064808,-3.141592653589793,0.1447771878479754,-1.7730091968757816e-17,-0.3604933079563575,-0.0,1.6624534190177775,-3.141592653589793,0.3604933079563575,-4.414769757027943e-17,-0.032730047291768455,-0.0,1.4859810225976262,-0.05717980277931202,-0.0,1.4763177636355533,0.032730047291768455,-4.0082747651805736e-18,0.019876829311010043,0.0,-0.9024304450975106,0.019876829311010043,0.0,0.0,-0.9051482536448666,0.0,0.20347496645477514,0.0,-0.9001420669712079,0.20347496645477514,0.08427946379004067,0.0,-0.9142963544110686,0.08427946379004067,0.08427946379004067,0.0,-0.9142963544110686,0.08427946379004067,0.19825982098723677,0.0,-0.9142963544110685,0.19825982098723677,0.034870209747397275,0.0,-0.9003093324834937,0.034870209747397275,0.037608991493582225,0.0,-0.9000277387507645,0.037608991493582225,0.20797781922885625,0.0,-0.9051482536448666,0.20797781922885625,0.0,0.0,-0.91442531876687,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.06440263447903063,0.17838299167622673,0.014993380436387233,0.049409254042643395,0.1633896112398395,0.0,0.0,0.0,0.0,0.0,-0.01186590931355802,-0.01186590931355791,0.002121112614016929,-0.01398702192757495,-0.013987021927574839
0.09,0.09,0.0081,0.012397395251057135,0.11648812907916917,0.04062190387581196,0.04062190387581196,0.04062190387581196,0.11083717251474424,0.009219191684752548,0.011745300915429403,0.07064189590396365,0.03201416687406751,0.10183364211799088,0.09935583928296376,0.1182000072647213,0.014379739578290949,0.09999372988274718,0.12880046790581712,4.440892098500626e-16,45.51495917554019,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,1.11432851699964,275.1428437036148,0.5,1.0,1.0,0.0081,0.0,0.22244198195855383,8.673617379884035e-17,0.23619103199684496,0.0,0.2671187747222876,-0.0682066211317981,-0.18177659815981806,-0.0,1.5947056672454267,-3.141592653589793,0.18177659815981806,-2.2261212909631584e-17,-0.4714402066429576,-0.0,1.7581512695338337,-3.141592653589793,0.4714402066429576,-5.773477400546648e-17,-0.0403971153393618,-0.0,1.4829420125697694,-0.0700820308611677,-0.0,1.471655298303316,0.0403971153393618,-4.9472197995135875e-18,0.024565720888976805,0.0,-0.9017856663599586,0.024565720888976805,0.0,0.0,-0.9051482536448666,0.0,0.25752300441932474,0.0,-0.8988122986360172,0.25752300441932474,0.10446819529785414,0.0,-0.9164877370073718,0.10446819529785414,0.10446819529785414,0.0,-0.9164877370073718,0.10446819529785414,0.24575198710578144,0.0,-0.9164877370073718,0.24575198710578144,0.04282055300653764,0.0,-0.8991904620056714,0.04282055300653764,0.04784396911714885,0.0,-0.8986342327491155,0.04784396911714885,0.2609418192497714,0.0,-0.9051482536448665,0.2609418192497714,0.0,0.0,-0.9167400302234855,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067,0.07990247440887734,0.22118626621680465,0.018254832117560838,0.0616476422913165,0.2029314340992438,0.0,0.0,0.0,0.0,0.0,-0.014702070647413246,-0.014702070647413246,0.0025952043542871728,-0.01729727500170042,-0.01729727500170042
