lambda,d_exact_tau,d_exact_weak,d_exact_hmf,d_exact_hmf_ordered,d_hmf_vs_ordered,d_exact_us,d_weak_tau,d_us_projector_vs_closed,alpha0,delta_x0,delta_y0,delta_z0,exact_bloch_x,exact_bloch_y,exact_bloch_z,exact_coherence_hs,tau_bloch_x,tau_bloch_y,tau_bloch_z,tau_coherence_hs,weak_bloch_x,weak_bloch_y,weak_bloch_z,weak_coherence_hs,hmf_bloch_x,hmf_bloch_y,hmf_bloch_z,hmf_coherence_hs,hmf_ordered_bloch_x,hmf_ordered_bloch_y,hmf_ordered_bloch_z,hmf_ordered_coherence_hs,us_bloch_x,us_bloch_y,us_bloch_z,us_coherence_hs
0.0,1.1102230246251565e-16,6.591949208711867e-17,1.1449174941446927e-16,6.938893903907228e-18,1.1449174941446927e-16,0.11238574846349797,6.591949208711867e-17,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.0,0.0,-0.9051482536448664,0.0,0.0,0.0,-0.9051482536448666,0.0,0.0,0.0,-0.9051482536448665,0.0,0.0,0.0,-0.9051482536448666,0.0,0.0,0.0,-0.9051482536448664,0.0,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.01,0.00017193915586531845,0.0014193702965292214,0.0005089475301449078,0.0001302934964845776,0.0003844911222541401,0.11221387917230487,0.001590129233405152,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.0003407341740480846,0.0,-0.9051018584305176,0.0003407341740480846,0.0,0.0,-0.9051482536448666,0.0,0.003179296350855861,0.0,-0.9050700319780904,0.003179296350855861,0.0013509760432651855,0.0,-0.9052264446233447,0.0013509760432651855,0.0005988720744759316,0.0,-0.9050662156855699,0.0005988720744759316,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.02,0.0006846110954212897,0.0056806048443392675,0.002035639660921448,0.0005183304557342342,0.0015404629755759393,0.11170141628932317,0.006360516933620601,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.001356698112253022,0.0,-0.9049634844913131,0.001356698112253022,0.0,0.0,-0.9051482536448666,0.0,0.012717185403423443,0.0,-0.9048353669777628,0.012717185403423443,0.005397507980913832,0.0,-0.9054606473638197,0.005397507980913832,0.0023835967487418216,0.0,-0.9048215512825701,0.0023835967487418216,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.03,0.001528713184311548,0.012792941685173703,0.004579371694248486,0.0011554501855984406,0.0034752885009728725,0.11085766084228511,0.014311163100646349,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.003029441800606986,0.0,-0.9047355329447716,0.003029441800606986,0.0,0.0,-0.9051482536448666,0.0,0.02861366715770275,0.0,-0.9044442586438832,0.02861366715770275,0.012120158496006228,0.0,-0.9058497368849577,0.012120158496006228,0.005318509058902364,0.0,-0.9044186234741053,0.005318509058902364,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.04,0.0026891773136654713,0.02277134457609576,0.008138140877064014,0.0020268476600137563,0.006200803838274591,0.10969767828133503,0.025442067734482404,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.005329080736138043,0.0,-0.9044218949145861,0.005329080736138043,0.0,0.0,-0.9051482536448666,0.0,0.050868741613693785,0.0,-0.9038967069764519,0.050868741613693785,0.021485715820426864,0.0,-0.9063917909760292,0.021485715820426864,0.009344304382090836,0.0,-0.9038647371087587,0.009344304382090836,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.05,0.004145789781402041,0.035635887769511314,0.012707459659113702,0.003111221978963317,0.009732491699599315,0.10824167862609871,0.039753230835128765,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.008215525674934906,0.0,-0.9040277941271705,0.008215525674934906,0.0,0.0,-0.9051482536448666,0.0,0.07948240877139656,0.0,-0.9031927119754685,0.07948240877139656,0.033446015073072495,0.0,-0.907084021979029,0.033446015073072495,0.014378579701515914,0.0,-0.9031701380918152,0.014378579701515914,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.06,0.005873994225280794,0.05141095906099165,0.01827880259331826,0.004380636268649428,0.01408811016602913,0.10651421357214447,0.0572446524025854,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.01164007551168239,0.0,-0.9035595829058963,0.01164007551168239,0.0,0.0,-0.9051482536448666,0.0,0.11445466863081102,0.0,-0.9023322736409335,0.11445466863081102,0.04793638141758503,0.0,-0.9079226866826967,0.04793638141758503,0.020317159294080886,0.0,-0.9023479255673454,0.020317159294080886,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.07,0.00784582174625752,0.0701243365069017,0.02483778872895452,0.005800822324573964,0.019285642380879084,0.10454324641803951,0.07791633243685236,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.015547262458568842,0.0,-0.9030245056512087,0.015547262458568842,0.0,0.0,-0.9051482536448666,0.0,0.15578552119193725,0.0,-0.9013153919728466,0.15578552119193725,0.06487379219337004,0.0,-0.9089029799514413,0.06487379219337004,0.027036555331419042,0.0,-0.9014138201303896,0.027036555331419042,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.08,0.010030887632197727,0.0918061989153098,0.03236222201749627,0.007332092400524924,0.025340527214364646,0.10235915540260038,0.1017682709379296,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.019876829311010043,0.0,-0.9024304450975106,0.019876829311010043,0.0,0.0,-0.9051482536448666,0.0,0.20347496645477514,0.0,-0.9001420669712079,0.20347496645477514,0.08415488708336157,0.0,-0.9100189195590294,0.08415488708336157,0.03439776376772854,0.0,-0.9003857499165541,0.03439776376772854,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.09,0.012397395251057135,0.11648812907916917,0.04082012772358283,0.008930897327076082,0.032262261213480754,0.09999372988274718,0.12880046790581712,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.024565720888976805,0.0,-0.9017856663599586,0.024565720888976805,0.0,0.0,-0.9051482536448666,0.0,0.25752300441932474,0.0,-0.8988122986360172,0.25752300441932474,0.10565398802339572,0.0,-0.9112632315860902,0.10565398802339572,0.042251353917233975,0.0,-0.8992832489973035,0.042251353917233975,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
0.1,0.014913093907935642,0.14420216256172175,0.05016793264640854,0.010551926614337959,0.0400506086327872,0.09747921255691774,0.15901292334051503,4.440892098500626e-16,48.33279089167917,31.792963508558618,28.77734539796681,4.328654843111006,0.029549984096060765,0.0,-0.9010985722314484,0.029549984096060765,0.0,0.0,-0.9051482536448666,0.0,0.3179296350855862,0.0,-0.8973260869672747,0.3179296350855862,0.1292213215498221,0.0,-0.9126272475342215,0.1292213215498221,0.0504435381692475,0.0,-0.8981267008869389,0.0504435381692475,0.22176226123636067,0.0,-0.8684913945031085,0.22176226123636067
