sweep,param_name,param,beta,theta,g,weight,ordered_p00,ordered_coh,exact_raw_p00,exact_raw_coh,new_p00,new_coh,ed_p00,ed_coh,d_raw_vs_ed_p00,d_new_vs_ed_p00,d_ord_vs_ed_p00
angle,theta,0.0,2.0,0.0,0.5,0.0,0.017986209962091552,0.0,0.01798620996209155,0.0,0.01798620996209155,0.0,0.017986209962091628,0.0,-7.979727989493313e-17,-7.979727989493313e-17,-7.632783294297951e-17
angle,theta,0.15707963267948966,2.0,0.15707963267948966,0.5,3.586406647673992e-07,0.02163870374987025,0.04810742867420379,0.02355372757352725,0.08536615157509775,0.023553762789598254,0.08536622279478444,0.022135826020441795,0.05519327255915405,0.001417901553085455,0.0014179367691564589,-0.0004971222705715435
angle,theta,0.3141592653589793,2.0,0.3141592653589793,0.5,8.314936036018817e-05,0.03258840576068313,0.09423492813040774,0.04035445684127148,0.16718315891611382,0.0403662168820072,0.1672164756457502,0.03465524401311816,0.10872539845873086,0.005699212828153319,0.005710972868889039,-0.0020668382524350326
angle,theta,0.47123889803846897,2.0,0.47123889803846897,0.5,0.0018045716024160771,0.050788207870200434,0.13611066820228843,0.06864041655731373,0.24142723169214617,0.06898780973499818,0.24238796833579396,0.05574577072827471,0.1585883356881716,0.012894645829039021,0.013242039006723473,-0.004957562858074277
angle,theta,0.6283185307179586,2.0,0.6283185307179586,0.5,0.014247854858429245,0.07606061883035656,0.17084415459685778,0.11067744504315624,0.3098234219818147,0.11405364402740864,0.3179111561327377,0.08568084313237297,0.20197668795961612,0.024996601910783275,0.028372800895035674,-0.009620224302016409
angle,theta,0.7853981633974483,2.0,0.7853981633974483,0.5,0.06250000000000003,0.10787756975607238,0.19458177143437683,0.17330945190019703,0.37720119914637545,0.1893555951456634,0.40873073491603523,0.12459852063190867,0.23465673935041073,0.04871093126828836,0.06475707451375474,-0.01672095087583629
angle,theta,0.9424777960769379,2.0,0.9424777960769379,0.5,0.18351060063963986,0.14491522444648758,0.20231643994432452,0.2690449629093602,0.4429686855455332,0.30764930645173105,0.5024069101686889,0.17192722218567677,0.2502308287550449,0.09711774072368343,0.13572208426605428,-0.027011997739189192
angle,theta,1.0995574287564276,2.0,1.0995574287564276,0.5,0.3972346028214356,0.18433512629295395,0.18834183033012308,0.41614821147616243,0.4926770243648735,0.44194612670082317,0.5219085727415854,0.22512984025044375,0.23989957359602562,0.19101837122571869,0.21681628645037943,-0.04079471395748979
angle,theta,1.2566370614359172,2.0,1.2566370614359172,0.5,0.6693458951415705,0.22104883946638942,0.14818017374013392,0.62972389245977,0.48270065716598715,0.5540616968036444,0.4263723913396881,0.2777648792068115,0.19443140928898095,0.35195901325295853,0.2762968175968329,-0.05671603974042205
angle,theta,1.413716694115407,2.0,1.413716694115407,0.5,0.9056479669354837,0.24788159196610002,0.08235752270086272,0.8755523152554463,0.32985019097125895,0.4866680298755334,0.1864011104080688,0.3183954157458616,0.11058813917532827,0.5571568995095847,0.16827261412967182,-0.07051382377976159
angle,theta,1.5707963267948966,2.0,1.5707963267948966,0.5,1.0,0.25783015715632535,1.952466153046355e-17,0.9998385024799811,1.4600362297174764e-16,0.34112103284846396,5.1575024300318736e-17,0.3339699204414492,1.2223928931773027e-16,0.6658685820385319,0.00715111240701477,-0.07613976328512384
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.0,0.017986209962091555,0.0,0.01798620996209155,0.0,0.01798620996209155,0.0,0.017986209962091562,0.0,-1.3877787807814457e-17,-1.3877787807814457e-17,-6.938893903907228e-18
coupling,g,0.2,2.0,0.7853981633974483,0.2,0.010000000000000007,0.0387330200231973,0.04718362692899279,0.04660169003825915,0.06949245498739223,0.04817271753982266,0.07116539624632535,0.0581324304377729,0.09725559662268228,-0.011530740399513753,-0.009959712897950238,-0.019399410414575602
coupling,g,0.4,2.0,0.7853981633974483,0.4,0.04000000000000003,0.08617844214964597,0.1502814154490515,0.1621629546871664,0.35013202351899414,0.17235717524763194,0.3698716366925978,0.10956027774352928,0.2074233614282645,0.05260267694363713,0.06279689750410267,-0.023381835593883307
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.06250000000000003,0.12403357441628797,0.2257805859514722,0.17411739591740127,0.37916328446168235,0.19015331274912856,0.4107038814390355,0.13480508667334187,0.2512598394870699,0.0393123092440594,0.05534822607578668,-0.010771512257053903
coupling,g,0.8,2.0,0.7853981633974483,0.8,0.06250000000000003,0.1429146767845573,0.258986841802572,0.17414741587103416,0.37923618766900247,0.19018294557161164,0.41077717575891326,0.14746874295002538,0.2695921873675947,0.026678672921008784,0.04271420262158626,-0.004554066165468079
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.06250000000000003,0.15264871163127142,0.2738770862599036,0.1741474220703128,0.379236202723899,0.19018295169089278,0.4107771908944299,0.15507986904283846,0.2795341080716234,0.019067553027474343,0.03510308264805431,-0.0024311574115670476
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.06250000000000003,0.15870551189639676,0.28219874553336727,0.1741474220704261,0.3792362027241745,0.19018295169100463,0.4107771908947071,0.16023271777746861,0.2858921349771256,0.013914704292957492,0.029950233913536017,-0.001527205881071858
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.06250000000000003,0.162999041883211,0.28771552436849174,0.1741474220704261,0.37923620272417446,0.19018295169100463,0.410777190894707,0.16398293663794955,0.29035474192670535,0.010164485432476555,0.02620001505305508,-0.0009838947547385624
coupling,g,1.6,2.0,0.7853981633974483,1.6,0.06250000000000003,0.16625890076292388,0.2917348139672737,0.17414742207042638,0.37923620272417446,0.19018295169100463,0.410777190894707,0.16684591016310554,0.2936753298253064,0.00730151190732084,0.02333704152789909,-0.000587009400181665
coupling,g,1.8,2.0,0.7853981633974483,1.8,0.06250000000000003,0.16882942488271946,0.2948181145893819,0.17414742207042638,0.37923620272417446,0.19018295169100463,0.410777190894707,0.1691069436724678,0.29624755828984317,0.00504047839795857,0.021076008018536818,-0.0002775187897483544
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.06250000000000003,0.17090591693543924,0.29725935390629976,0.1741474220704261,0.37923620272417446,0.19018295169100463,0.410777190894707,0.17093846176901456,0.29829974980146395,0.0032089603014115453,0.01924448992199007,-3.2544833575315346e-05
temperature,beta,0.4,0.4,1.5707963267948966,0.5,1.0,0.36277967393405575,9.02473085893956e-18,0.37110413016861077,3.978652452226446e-18,0.484400878511062,4.358384272846916e-18,0.344864052129785,6.182348904505333e-18,0.026240078038825776,0.139536826381277,0.017915621804270754
temperature,beta,0.96,0.96,1.5707963267948966,0.5,1.0,0.2927970423625558,4.764888602860348e-18,0.45329760062220187,2.7137696645913814e-17,0.4847325854795899,2.850241571724291e-17,0.3047190789180116,2.4961433837930394e-17,0.14857852170419028,0.18001350656157833,-0.011922036555455762
temperature,beta,1.52,1.52,1.5707963267948966,0.5,1.0,0.26847060557966224,1.589085947254719e-17,0.9164663482365016,9.991637849638923e-17,0.41170409537226843,4.774529291395042e-17,0.3209185871116095,7.395296535988855e-17,0.5955477611248922,0.09078550826065895,-0.05244798153194724
temperature,beta,2.0799999999999996,2.0799999999999996,1.5707963267948966,0.5,1.0,0.25645818599610287,2.5624948794187185e-18,0.9999714779586254,1.5231299546735643e-16,0.34226394669112903,5.3696347029340834e-17,0.335691790102002,1.3020392493112094e-16,0.6642796878566234,0.006572156589127021,-0.07923360410589914
temperature,beta,2.6399999999999997,2.6399999999999997,1.5707963267948966,0.5,1.0,0.24865939894100497,2.5598069468652696e-18,0.9999999999999891,1.9564086242586419e-16,0.3494511506437144,6.90150582083121e-17,0.34466873559643585,1.827076067097191e-16,0.6553312644035533,0.004782415047278554,-0.09600933665543088
temperature,beta,3.1999999999999997,3.1999999999999997,1.5707963267948966,0.5,1.0,0.243022176653128,2.1743387875227275e-18,0.9999999999999665,2.3421406740197227e-16,0.3493120659042892,8.206702152118619e-17,0.3498403945581747,2.28323373184006e-16,0.6501596054417917,-0.0005283286538855236,-0.10681821790504673
temperature,beta,3.7599999999999993,3.7599999999999993,1.5707963267948966,0.5,1.0,0.23899063275065158,3.033873166715451e-17,0.9999999999998975,2.654644652386036e-16,0.34916285032653405,9.278399582873356e-17,0.352865496189978,2.6799306745177203e-16,0.6471345038099195,-0.003702645863443932,-0.1138748634393264
temperature,beta,4.319999999999999,4.319999999999999,1.5707963267948966,0.5,1.0,0.23637504082495048,1.8121193239865408e-17,0.9999999999996861,2.894523769997342e-16,0.3490023553676157,1.0105289263672931e-16,0.35469375588861296,3.0372105931622413e-16,0.6453062441110732,-0.0056914005209972585,-0.11831871506366248
temperature,beta,4.88,4.88,1.5707963267948966,0.5,1.0,0.23505673432827612,1.0484072204407838e-17,0.9999999999990381,3.0750632157488695e-16,0.34882925221201344,1.072787569307423e-16,0.3558362591574648,3.3728209593112935e-16,0.6441637408415732,-0.007007006945451366,-0.12077952482918869
temperature,beta,5.4399999999999995,5.4399999999999995,1.5707963267948966,0.5,1.0,0.23491545632880437,1.668192335437152e-17,0.9999999999970521,3.211319741600738e-16,0.34864199512695193,1.1196403111029686e-16,0.3565707585534141,3.6990144415992145e-16,0.643429241443638,-0.007928763426462149,-0.12165530222460971
temperature,beta,6.0,6.0,1.5707963267948966,0.5,1.0,0.2358184352128152,5.139259822745521e-18,0.9999999999909652,3.3156366775714266e-16,0.3484387756751771,1.1553096581147272e-16,0.3570534767088291,4.023098207814989e-16,0.6429465232821361,-0.008614701033651972,-0.12123504149601388
