sweep,param_name,param,beta,theta,g,ordered_p00,ordered_coh,exact_raw_p00,exact_raw_coh,new_p00,new_coh,ed_p00,ed_coh,d_raw_vs_ed_p00,d_new_vs_ed_p00,d_ord_vs_ed_p00,d_raw_vs_ord_p00,d_new_vs_ord_p00
angle,theta,0.0,2.0,0.0,0.5,0.017986209962091552,0.0,0.01798620996209155,0.0,0.017986209962232824,0.0,0.017986209962091628,0.0,-7.979727989493313e-17,1.4119608260365624e-13,-7.632783294297951e-17,-3.469446951953614e-18,1.4127241043659922e-13
angle,theta,0.15707963267948966,2.0,0.15707963267948966,0.5,0.02163870374987025,0.04810742867420379,0.02355372757352725,0.08536615157509775,0.0357384954383933,0.11000817790724442,0.022135826020441795,0.05519327255915405,0.001417901553085455,0.013602669417951508,-0.0004971222705715435,0.0019150238236569986,0.014099791688523051
angle,theta,0.3141592653589793,2.0,0.3141592653589793,0.5,0.03258840576068313,0.09423492813040774,0.04035445684127148,0.16718315891611382,0.10353121073827215,0.3461657726842492,0.03465524401311816,0.10872539845873086,0.005699212828153319,0.06887596672515399,-0.0020668382524350326,0.0077660510805883515,0.07094280497758902
angle,theta,0.47123889803846897,2.0,0.47123889803846897,0.5,0.050788207870200434,0.13611066820228843,0.06864041655731373,0.24142723169214617,0.21055490832695584,0.6339002601395194,0.05574577072827471,0.1585883356881716,0.012894645829039021,0.15480913759868112,-0.004957562858074277,0.017852208687113298,0.1597667004567554
angle,theta,0.6283185307179586,2.0,0.6283185307179586,0.5,0.07606061883035656,0.17084415459685778,0.11067744504315624,0.3098234219818147,0.31545486871840545,0.8003707417699178,0.08568084313237297,0.20197668795961612,0.024996601910783275,0.2297740255860325,-0.009620224302016409,0.034616826212799684,0.2393942498880489
angle,theta,0.7853981633974483,2.0,0.7853981633974483,0.5,0.10787756975607238,0.19458177143437683,0.17330945190019703,0.37720119914637545,0.39422082142563386,0.811276404684923,0.12459852063190867,0.23465673935041073,0.04871093126828836,0.2696223007937252,-0.01672095087583629,0.06543188214412465,0.2863432516695615
angle,theta,0.9424777960769379,2.0,0.9424777960769379,0.5,0.14491522444648758,0.20231643994432452,0.2690449629093602,0.4429686855455332,0.44114319646183836,0.707944398755452,0.17192722218567677,0.2502308287550449,0.09711774072368343,0.2692159742761616,-0.027011997739189192,0.12412973846287262,0.2962279720153508
angle,theta,1.0995574287564276,2.0,1.0995574287564276,0.5,0.18433512629295395,0.18834183033012308,0.41614821147616243,0.4926770243648735,0.4694335490720445,0.5530544971233895,0.22512984025044375,0.23989957359602562,0.19101837122571869,0.24430370882160074,-0.04079471395748979,0.23181308518320848,0.28509842277909053
angle,theta,1.2566370614359172,2.0,1.2566370614359172,0.5,0.22104883946638942,0.14818017374013392,0.62972389245977,0.48270065716598715,0.5246473870087579,0.4044743080650018,0.2777648792068115,0.19443140928898095,0.35195901325295853,0.24688250780194643,-0.05671603974042205,0.4086750529933806,0.3035985475423685
angle,theta,1.413716694115407,2.0,1.413716694115407,0.5,0.24788159196610002,0.08235752270086272,0.8755523152554463,0.32985019097125895,0.4421050542507413,0.16996301269915445,0.3183954157458616,0.11058813917532827,0.5571568995095847,0.1237096385048797,-0.07051382377976159,0.6276707232893463,0.1942234622846413
angle,theta,1.5707963267948966,2.0,1.5707963267948966,0.5,0.25783015715632535,1.952466153046355e-17,0.9998385024799811,1.4600362297174764e-16,0.34112102981002224,5.1575023864751486e-17,0.3339699204414492,1.2223928931773027e-16,0.6658685820385319,0.00715110936857305,-0.07613976328512384,0.7420083453236557,0.08329087265369689
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.017986209962091555,0.0,0.01798620996209155,0.0,0.017986209962232824,0.0,0.017986209962091562,0.0,-1.3877787807814457e-17,1.4126200209574336e-13,-6.938893903907228e-18,-6.938893903907228e-18,1.4126894098964726e-13
coupling,g,0.2,2.0,0.7853981633974483,0.2,0.0387330200231973,0.04718362692899279,0.04660169003825915,0.06949245498739223,0.09954454105327187,0.12586974929982003,0.0581324304377729,0.09725559662268228,-0.011530740399513753,0.04141211061549897,-0.019399410414575602,0.007868670015061849,0.060811521030074575
coupling,g,0.4,2.0,0.7853981633974483,0.4,0.08617844214964597,0.1502814154490515,0.1621629546871664,0.35013202351899414,0.32236160064357167,0.6603332089218472,0.10956027774352928,0.2074233614282645,0.05260267694363713,0.2128013229000424,-0.023381835593883307,0.07598451253752043,0.23618315849392568
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.12403357441628797,0.2257805859514722,0.17411739591740127,0.37916328446168235,0.46488557430744304,0.9510670941830309,0.13480508667334187,0.2512598394870699,0.0393123092440594,0.33008048763410114,-0.010771512257053903,0.050083821501113304,0.34085199989115506
coupling,g,0.8,2.0,0.7853981633974483,0.8,0.1429146767845573,0.258986841802572,0.17414741587103416,0.37923618766900247,0.607390077384788,1.2314002185431805,0.14746874295002538,0.2695921873675947,0.026678672921008784,0.45992133443476263,-0.004554066165468079,0.031232739086476863,0.46447540060023074
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.15264871163127142,0.2738770862599036,0.1741474220703128,0.379236202723899,0.7401281042830683,1.4924884884177196,0.15507986904283846,0.2795341080716234,0.019067553027474343,0.5850482352402299,-0.0024311574115670476,0.02149871043904139,0.5874793926517969
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.15870551189639676,0.28219874553336727,0.1741474220704261,0.3792362027241745,0.848190286800812,1.7050407458812582,0.16023271777746861,0.2858921349771256,0.013914704292957492,0.6879575690233434,-0.001527205881071858,0.01544191017402935,0.6894847749044153
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.162999041883211,0.28771552436849174,0.1741474220704261,0.37923620272417446,0.9224337638009334,1.8510735047116798,0.16398293663794955,0.29035474192670535,0.010164485432476555,0.758450827162984,-0.0009838947547385624,0.011148380187215118,0.7594347219177224
coupling,g,1.6,2.0,0.7853981633974483,1.6,0.16625890076292388,0.2917348139672737,0.17414742207042638,0.37923620272417446,0.9652115023625817,1.9352149192991726,0.16684591016310554,0.2936753298253064,0.00730151190732084,0.7983655921994761,-0.000587009400181665,0.007888521307502505,0.7989526015996578
