sweep,param_name,param,beta,theta,g,ordered_p00,ordered_p11,ordered_coh,best_p00,best_p11,best_coh,ed_p00,ed_p11,ed_coh,d_best_vs_ordered_p00,d_best_vs_ordered_coh,d_best_vs_ed_p00,d_best_vs_ed_coh,d_ordered_vs_ed_p00,d_ordered_vs_ed_coh
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.017986209962091555,0.9820137900379085,0.0,0.01798620996209155,0.9820137900379085,0.0,0.017986209962091555,0.9820137900379085,0.0,-6.938893903907228e-18,0.0,-6.938893903907228e-18,0.0,0.0,0.0
coupling,g,0.125,2.0,0.7853981633974483,0.125,0.02646123709417804,0.9735387629058219,0.01948721718271713,0.025534316173621285,0.9744656838263788,0.01836310290076576,0.02378656113920737,0.9762134388607928,0.014433162755307875,-0.0009269209205567536,-0.001124114281951371,0.0017477550344139163,0.003929940145457885,0.00267467595497067,0.005054054427409256
coupling,g,0.25,2.0,0.7853981633974483,0.25,0.04983689440622911,0.9501631055937709,0.0721775937289332,0.04876496993004692,0.951235030069953,0.07487885313354473,0.038542785235330716,0.9614572147646695,0.050643287463088014,-0.0010719244761821928,0.0027012594046115224,0.010222184694716203,0.02423556567045671,0.011294109170898396,0.02153430626584519
coupling,g,0.375,2.0,0.7853981633974483,0.375,0.08080739657381214,0.9191926034261879,0.1393290691012245,0.07762559767861515,0.9223744023213849,0.14509125638750536,0.05684470814518151,0.9431552918548183,0.09432579444814122,-0.0031817988951969856,0.005762187286280862,0.02078088953343364,0.05076546193936414,0.023962688428630627,0.04500327465308328
coupling,g,0.5,2.0,0.7853981633974483,0.5,0.10864345819731679,0.8913565418026832,0.19642532800515627,0.09958286475548123,0.9004171352445187,0.19850909967860678,0.0744499232957088,0.9255500767042911,0.13466626817532748,-0.00906059344183556,0.002083771673450502,0.02513294145977242,0.0638428315032793,0.03419353490160798,0.061759059829828794
coupling,g,0.625,2.0,0.7853981633974483,0.625,0.1278845927440946,0.8721154072559054,0.23315838181471038,0.11338079231848669,0.8866192076815134,0.23207682601369076,0.08951344049640855,0.9104865595035916,0.16743478143915344,-0.014503800425607921,-0.0010815558010196236,0.023867351822078137,0.06464204457453732,0.03837115224768606,0.06572360037555694
coupling,g,0.75,2.0,0.7853981633974483,0.75,0.13992343752242983,0.8600765624775703,0.25424644363802984,0.12184586190593993,0.8781541380940601,0.2526707259324681,0.1018003505441554,0.8981996494558447,0.19260639882176808,-0.0180775756164899,-0.0015757177055617522,0.020045511361784535,0.060064327110700005,0.038123086978274434,0.06164004481626176
coupling,g,0.875,2.0,0.7853981633974483,0.875,0.14766687379999915,0.8523331262000009,0.266632521586095,0.127214624546499,0.872785375453501,0.26573190155129844,0.11171924667533119,0.8882807533246684,0.21166746199886818,-0.020452249253500143,-0.0009006200347965732,0.015495377871167823,0.05406443955243026,0.035947627124667966,0.05496505958722683
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.15304972867775188,0.8469502713222481,0.2745647058285281,0.13077583041807433,0.8692241695819256,0.27439563627334823,0.11979337985852663,0.8802066201414736,0.2262254577809805,-0.022273898259677544,-0.00016906955517986821,0.010982450559547705,0.04817017849236774,0.03325634881922525,0.048339248047547606
coupling,g,1.125,2.0,0.7853981633974483,1.125,0.15708212144310507,0.8429178785568949,0.2801327734686915,0.13324053362003085,0.8667594663799691,0.28039178911606255,0.12647018147055014,0.87352981852945,0.2375626729608207,-0.023841587823074217,0.00025901564737107474,0.006770352149480713,0.04282911615524185,0.03061193997255493,0.04257010050787077
coupling,g,1.25,2.0,0.7853981633974483,1.25,0.16027276475576507,0.839727235244235,0.28433220984642077,0.1350103921914973,0.8649896078085026,0.2846975174877692,0.13208610005893257,0.8679138999410673,0.2465958827576172,-0.025262372564267777,0.0003653076413484557,0.002924292132564732,0.03810163473015202,0.02818666469683251,0.03773632708880356
coupling,g,1.375,2.0,0.7853981633974483,1.375,0.16289079005682658,0.8371092099431735,0.28766014662922995,0.1363216013548313,0.8636783986451687,0.28788743931928124,0.13688267273038254,0.8631173272696175,0.25395375948222065,-0.02656918870199529,0.00022729269005128394,-0.0005610713755512531,0.03393367983706058,0.026008117326444036,0.0337063871470093
coupling,g,1.5,2.0,0.7853981633974483,1.5,0.16509101554926242,0.8349089844507376,0.2903859260064279,0.13731897559630485,0.8626810244036951,0.29031386063788617,0.1410317962791755,0.8589682037208243,0.26006364317877645,-0.027772039952957572,-7.20653685417072e-05,-0.0037128206828706545,0.03025021745910972,0.024059219270086918,0.030322282827651426
coupling,g,1.625,2.0,0.7853981633974483,1.625,0.16697076602347513,0.8330292339765248,0.29266921457705863,0.13809480343628117,0.8619051965637188,0.2922013018131312,0.14465722772808356,0.855342772271916,0.26521886001130324,-0.028875962587193965,-0.0004679127639274361,-0.006562424291802399,0.02698244180182796,0.022313538295391566,0.027450354565755397
coupling,g,1.75,2.0,0.7853981633974483,1.75,0.16859610561286148,0.8314038943871385,0.29461276547701065,0.1387099633183388,0.8612900366816612,0.2936978684880138,0.14785009813582528,0.8521499018641745,0.26962492248685865,-0.02988614229452269,-0.0009148969889968273,-0.00914013481748649,0.02407294600115517,0.0207460074770362,0.024987842990152
coupling,g,1.875,2.0,0.7853981633974483,1.875,0.17001459907582378,0.8299854009241763,0.2962872600005696,0.1392058525169847,0.8607941474830153,0.2949042723364658,0.15067938175251588,0.8493206182474838,0.2734296415567918,-0.030808746558839084,-0.0013829876641037742,-0.011473529235531188,0.021474630779674042,0.019335217323307896,0.022857618443777816
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.17126197879144628,0.8287380212085537,0.2977438315794161,0.1396113824193866,0.8603886175806135,0.29589084924972736,0.153198769908134,0.8468012300918655,0.2767423628223943,-0.03165059637205969,-0.0018529823296887238,-0.01358738748874741,0.019148486427333078,0.01806320888331228,0.0210014687570218
angle,theta,0.0,2.0,0.0,0.5,0.01798620996209157,0.9820137900379085,0.0,0.01798620996209155,0.9820137900379085,0.0,0.01798620996209144,0.9820137900379086,0.0,-2.0816681711721685e-17,0.0,1.0755285551056204e-16,0.0,1.2836953722228372e-16,0.0
angle,theta,0.09817477042468103,2.0,0.09817477042468103,0.5,0.019422838251117163,0.9805771617488828,0.030412672456969634,0.0198130355008298,0.9801869644991702,0.04512391932012038,0.01889560774492492,0.9811043922550748,0.021573977501726717,0.00039019724971263783,0.014711246863150746,0.0009174277559048823,0.023549941818393663,0.0005272305061922444,0.008838694955242917
angle,theta,0.19634954084936207,2.0,0.19634954084936207,0.5,0.02373225285931191,0.9762677471406881,0.060354400904396234,0.02436956109432542,0.9756304389056746,0.07807194761086007,0.021621828596543408,0.9783781714034565,0.04275512789806159,0.0006373082350135117,0.01771754670646384,0.002747732497782013,0.035316819712798486,0.002110424262768501,0.017599273006334647
angle,theta,0.2945243112740431,2.0,0.2945243112740431,0.5,0.030911821576909044,0.969088178423091,0.08932697903875209,0.03110274603517227,0.9688972539648277,0.10519327394627623,0.02615756775027292,0.9738424322497264,0.06313044865243328,0.00019092445826322454,0.015866294907524142,0.004945178284899349,0.04206282529384295,0.004754253826636124,0.026196530386318806
angle,theta,0.39269908169872414,2.0,0.39269908169872414,0.5,0.040952642291301196,0.9590473577086989,0.11677590746798007,0.03997067993367043,0.9600293200663296,0.12912185308373314,0.03248579535486012,0.9675142046451407,0.08224667416781434,-0.0009819623576307682,0.01234594561575307,0.007484884578810309,0.0468751789159188,0.008466846936441078,0.03452923330016573
angle,theta,0.4908738521234052,2.0,0.4908738521234052,0.5,0.05383116225554763,0.9461688377444524,0.14205833998401218,0.05110101137150891,0.9488989886284911,0.15072089434950667,0.04057168459728893,0.9594283154027116,0.09959090889823974,-0.002730150884038718,0.008662554365494485,0.010529326774219978,0.05112998545126693,0.013259477658258696,0.042467431085772445
angle,theta,0.5890486225480862,2.0,0.5890486225480862,0.5,0.06949406498772065,0.9305059350122793,0.16440808239933258,0.06466381327772308,0.9353361867222769,0.1699511185469914,0.05034983009754915,0.949650169902451,0.11457380672997741,-0.004830251709997568,0.005543036147658831,0.014313983180173934,0.055377311817014,0.019144234890171502,0.049834275669355166
angle,theta,0.6872233929727672,2.0,0.6872233929727672,0.5,0.08783282038609773,0.9121671796139023,0.18290049745673798,0.08080480846346277,0.9191951915365373,0.18621861759111935,0.06170560542317236,0.9382943945768275,0.1265191161947643,-0.007028011922634955,0.003318120134381375,0.019099203040290412,0.05969950139635505,0.026127214962925367,0.05638138126197367
angle,theta,0.7853981633974483,2.0,0.7853981633974483,0.5,0.10864345819731679,0.8913565418026832,0.19642532800515627,0.09958286475548123,0.9004171352445187,0.19850909967860678,0.0744499232957088,0.9255500767042911,0.13466626817532748,-0.00906059344183556,0.002083771673450502,0.02513294145977242,0.0638428315032793,0.03419353490160798,0.061759059829828794
angle,theta,0.8835729338221293,2.0,0.8835729338221293,0.5,0.1315676132079334,0.8684323867920667,0.2036838931602743,0.12088852104847936,0.8791114789515206,0.20545012217468445,0.08828809274619624,0.9117119072538037,0.13819605963047926,-0.010679092159454034,0.0017662290144101478,0.032600428302283116,0.06725406254420518,0.04327952046173715,0.06548783352979504
angle,theta,0.9817477042468103,2.0,0.9817477042468103,0.5,0.15601469919499134,0.8439853008050088,0.20323860377501637,0.14433506835748888,0.8556649316425111,0.2053865379535056,0.10278649088984813,0.8972135091101522,0.136292104937585,-0.011679630837502453,0.0021479341784892136,0.04154857746764075,0.06909443301592058,0.0532282083051432,0.06694649883743137
