g,g2,v5_Dz,v5_Sp,v5_Sm,v5_chi,v5_gamma,v5_gDz,v5_gSp,v5_gSm,ord_gDz,ord_gSp,ord_gSm,ratio_gDz,ratio_gSp,v5_p00,ord_p00,v5_coh,ord_coh
0.05000000,0.00250000,0.01931360,0.04735390,0.00640865,0.02600942,0.99977456,0.01930924,0.04734323,0.00640721,0.02078103,0.05048691,0.00683266,0.92917649,0.93773262,0.12331813,0.12363685,0.00572768,0.00611497
0.13448276,0.01808561,0.13971928,0.34256972,0.04636177,0.18815848,0.98836356,0.13809344,0.33858342,0.04582228,0.12664612,0.30665177,0.04150080,1.09038830,1.10413001,0.15160895,0.14863588,0.04510375,0.04045588
0.21896552,0.04794590,0.37040307,0.90817011,0.12290746,0.49881791,0.92455982,0.34245979,0.83965760,0.11363530,0.25329058,0.60970241,0.08251425,1.35204314,1.37715972,0.21648872,0.18510315,0.13540547,0.09004922
0.30344828,0.09208086,0.71136495,1.74415509,0.23604572,0.95798771,0.77597857,0.55200396,1.35342698,0.18316642,0.34684012,0.82903192,0.11219727,1.59152280,1.63253904,0.31919317,0.21817977,0.27835280,0.13429805
0.38793103,0.15049049,1.16260495,2.85052464,0.38577656,1.56566786,0.58526713,0.68043446,1.66831837,0.22578234,0.40054833,0.95103641,0.12870878,1.69875744,1.75421083,0.41577189,0.24023414,0.41277413,0.16312998
0.47241379,0.22317479,1.72412304,4.22727878,0.57209997,2.32185838,0.42248040,0.72840819,1.78594243,0.24170102,0.42872048,1.01229418,0.13699912,1.69902824,1.76425239,0.46273322,0.25287370,0.47813641,0.17916911
0.55689655,0.31013377,2.39591924,5.87441749,0.79501596,3.22655926,0.30895256,0.74022539,1.81491635,0.24562222,0.44404789,1.04390136,0.14127669,1.66699451,1.73858989,0.47550851,0.26009465,0.49591746,0.18802227
0.64137931,0.41136742,3.17799354,7.79194078,1.05452451,4.27977050,0.23356782,0.74227702,1.81994661,0.24630299,0.45328881,1.06195309,0.14371972,1.63753660,1.71377308,0.47778036,0.26457258,0.49907951,0.19332954
0.72586207,0.52687574,4.07034594,9.97984866,1.35062564,5.48149210,0.18242576,0.74253593,1.82058143,0.24638890,0.45950899,1.07354916,0.14528908,1.61593341,1.69585288,0.47806823,0.26764132,0.49948017,0.19686492
0.81034483,0.65665874,5.07297645,12.43814111,1.68331935,6.83172406,0.14637559,0.74255994,1.82064030,0.24639687,0.46407517,1.08176084,0.14640041,1.60008548,1.68303402,0.47809494,0.26992269,0.49951735,0.19943771
0.89482759,0.80071641,6.18588506,15.16681814,2.05260563,8.33046639,0.12004128,0.74256159,1.82064433,0.24639742,0.46763100,1.08798795,0.14724316,1.58792208,1.67340486,0.47809677,0.27171632,0.49951989,0.20142944
0.97931034,0.95904875,7.40907177,18.16587975,2.45848448,9.97771908,0.10022331,0.74256167,1.82064453,0.24639744,0.47050837,1.09292796,0.14791171,1.57821141,1.66584130,0.47809686,0.27317881,0.49952002,0.20303506
1.06379310,1.13165577,8.74253658,21.43532594,2.90095591,11.77348213,0.08493664,0.74256167,1.82064454,0.24639744,0.47289668,1.09696575,0.14845817,1.57024083,1.65970956,0.47809686,0.27440034,0.49952002,0.20436448
1.14827586,1.31853746,10.18627950,24.97515671,3.38001991,13.71775554,0.07289822,0.74256167,1.82064454,0.24639744,0.47491458,1.10033519,0.14891417,1.56356891,1.65462720,0.47809686,0.27543784,0.49952002,0.20548576
1.23275862,1.51969382,11.74030052,28.78537206,3.89567648,15.81053931,0.06324895,0.74256167,1.82064454,0.24639744,0.47664219,1.10319014,0.14930055,1.55790168,1.65034519,0.47809686,0.27633006,0.49952002,0.20644446
1.31724138,1.73512485,13.40459964,32.86597199,4.44792563,18.05183345,0.05539604,0.74256167,1.82064454,0.24639744,0.47813672,1.10563807,0.14963184,1.55303209,1.64669125,0.47809686,0.27710489,0.49952002,0.20727292
1.40172414,1.96483056,15.17917687,37.21695650,5.03676735,20.44163794,0.04891976,0.74256167,1.82064454,0.24639744,0.47944069,1.10775741,0.14991866,1.54880821,1.64354083,0.47809686,0.27778319,0.49952002,0.20799508
1.48620690,2.20881094,17.06403220,41.83832559,5.66220164,22.97995280,0.04351619,0.74256167,1.82064454,0.24639744,0.48058663,1.10960725,0.15016901,1.54511514,1.64080087,0.47809686,0.27838105,0.49952002,0.20862922
1.57068966,2.46706599,19.05916563,46.73007926,6.32422851,25.66677802,0.03896087,0.74256167,1.82064454,0.24639744,0.48159998,1.11123318,0.15038906,1.54186399,1.63840009,0.47809686,0.27891110,0.49952002,0.20918958
1.65517241,2.73959572,21.16457716,51.89221750,7.02284795,28.50211361,0.03508512,0.74256167,1.82064454,0.24639744,0.48250101,1.11267104,0.15058365,1.53898471,1.63628285,0.47809686,0.27938349,0.49952002,0.20968749
1.73965517,3.02640012,23.38026680,57.32474033,7.75805997,31.48595955,0.03176019,0.74256167,1.82064454,0.24639744,0.48330603,1.11394945,0.15075666,1.53642130,1.63440500,0.47809686,0.27980641,0.49952002,0.21013209
1.82413793,3.32747919,25.70623454,63.02764773,8.52986456,34.61831586,0.02888644,0.74256167,1.82064454,0.24639744,0.48402838,1.11509152,0.15091123,1.53412837,1.63273104,0.47809686,0.28018660,0.49952002,0.21053081
1.90862069,3.64283294,28.14248038,69.00093972,9.33826172,37.89918253,0.02638579,0.74256167,1.82064454,0.24639744,0.48467907,1.11611618,0.15104990,1.53206879,1.63123210,0.47809686,0.28052964,0.49952002,0.21088980
1.99310345,3.97246136,30.68900433,75.24461629,10.18325146,41.32855956,0.02419634,0.74256167,1.82064454,0.24639744,0.48526725,1.11703905,0.15117480,1.53021180,1.62988442,0.47809686,0.28084019,0.49952002,0.21121415
2.07758621,4.31636445,33.34580638,81.75867743,11.06483377,44.90644695,0.02226852,0.74256167,1.82064454,0.24639744,0.48580061,1.11787313,0.15128768,1.52853178,1.62866831,0.47809686,0.28112217,0.49952002,0.21150814
