g,g2,v5_Dz,v5_Sp,v5_Sm,v5_chi,v5_gamma,ord_log_Dz,ord_log_Sp,ratio_log_Dz,ratio_log_Sp,v5_p00,ord_p00,ord_coh
0.05000000,0.00250000,0.01931360,0.04735390,0.00640865,0.02600942,0.99977456,0.02078641,0.05049999,0.92914531,0.93770114,,0.12363685,0.00611497
0.13125000,0.01722656,0.13308274,0.32629797,0.04415963,0.17922113,0.98942906,0.12280917,0.29741510,1.08365477,1.09711299,,0.14737242,0.03872625
0.21250000,0.04515625,0.34885181,0.85532983,0.11575631,0.46979507,0.93239318,0.25369269,0.61098330,1.37509605,1.39992342,,0.18226244,0.08621169
0.29375000,0.08628906,0.66662081,1.63444948,0.22119868,0.89773124,0.79666535,0.36448789,0.87192339,1.82892444,1.87453336,,0.21490143,0.12995546
0.37500000,0.14062500,1.08638973,2.66365692,0.36048676,1.46302964,0.61395846,0.43788250,1.04067611,2.48100745,2.55954460,,0.23757017,0.15969219
0.45625000,0.20816406,1.60815858,3.94295214,0.53362054,2.16569026,0.44976079,0.48051814,1.13569543,3.34671775,3.47183939,,0.25098573,0.17680925
0.53750000,0.28890625,2.23192735,5.47233515,0.74060003,3.00571311,0.33107311,0.50496844,1.18820350,4.41993438,4.60555382,,0.25874995,0.18639803
0.61875000,0.38285156,2.95769605,7.25180596,0.98142521,3.98309818,0.25088667,0.51998279,1.21923609,5.68806525,5.94782750,,0.26354934,0.19213169
0.70000000,0.49000000,3.78546467,9.28136454,1.25609610,5.09784548,0.19614666,0.53011599,1.23948336,7.14082340,7.48809129,,0.26680557,0.19591066
0.78125000,0.61035156,4.71523322,11.56101092,1.56461269,6.34995501,0.15748047,0.53754691,1.25394302,8.77176134,9.21972590,,0.26920310,0.19863115
0.86250000,0.74390625,5.74700169,14.09074509,1.90697498,7.73942677,0.12920849,0.54333327,1.26498426,10.57730494,11.13906753,,0.27107564,0.20072096
0.94375000,0.89066406,6.88077009,16.87056704,2.28318297,9.26626075,0.10791839,0.54802330,1.27380519,12.55561585,13.24422852,,0.27259680,0.20239796
1.02500000,1.05062500,8.11653841,19.90047678,2.69323666,10.93045696,0.09148748,0.55192723,1.28106737,14.70581253,15.53429376,,0.27386518,0.20378332
1.10625000,1.22378906,9.45430666,23.18047432,3.13713606,12.73201540,0.07854216,0.55523696,1.28717082,17.02751667,18.00885630,,0.27494199,0.20495076
1.18750000,1.41015625,10.89407483,26.71055963,3.61488115,14.67093606,0.06816198,0.55808073,1.29237759,19.52060737,20.66776754,,0.27586826,0.20594889
1.26875000,1.60972656,12.43584293,30.49073274,4.12647195,16.74721895,0.05971141,0.56054951,1.29687051,22.18509268,23.51100788,,0.27667316,0.20681178
1.35000000,1.82250000,14.07961095,34.52099364,4.67190845,18.96086407,0.05274021,0.56271077,1.30078325,25.02104403,26.53862091,,0.27737839,0.20756445
1.43125000,2.04847656,15.82537889,38.80134232,5.25119065,21.31187142,0.04692221,0.56461613,1.30421697,28.02856307,29.75068047,,0.27800057,0.20822591
1.51250000,2.28765625,17.67314677,43.33177879,5.86431856,23.80024099,0.04201638,0.56630607,1.30725014,31.20776504,33.14727428,,0.27855276,0.20881094
1.59375000,2.54003906,19.62291456,48.11230305,6.51129216,26.42597279,0.03784156,0.56781287,1.30994483,34.55877049,36.72849567,,0.27904539,0.20933126
1.67500000,2.80562500,21.67468228,53.14291510,7.19211147,29.18906681,0.03425940,0.56916266,1.31235092,38.08170101,40.49443958,,0.27948692,0.20979632
1.75625000,3.08441406,23.82844993,58.42361494,7.90677648,32.08952306,0.03116282,0.57037686,1.31450898,41.77667711,44.44520040,,0.27988427,0.21021382
1.83750000,3.37640625,26.08421750,63.95440256,8.65528719,35.12734154,0.02846785,0.57147318,1.31645237,45.64381707,48.58087094,,0.28024320,0.21059009
1.91875000,3.68160156,28.44198500,69.73527798,9.43764360,38.30252225,0.02610794,0.57246643,1.31820880,49.68323632,52.90154187,,0.28056850,0.21093042
2.00000000,4.00000000,30.90175242,75.76624118,10.25384571,41.61506518,0.02402976,0.57336906,1.31980148,53.89504709,57.40730136,,0.28086423,0.21123923
