sweep,param_name,param,beta,theta,g,ordered_p00,ordered_coh,exact_raw_p00,exact_raw_coh,diag_renorm_p00,diag_renorm_coh,raw_minus_ordered_p00,renorm_minus_ordered_p00,raw_minus_ordered_coh,renorm_minus_ordered_coh,diag_scale_sg
beta_theta_pi2_g05,beta,0.2,0.2,1.5707963267948966,0.5,0.4171092362821627,1.1104833838429517e-17,0.41759265639150644,1.0128205657007835e-18,0.40517707556542865,1.0076897661625397e-18,0.00048342010934376844,-0.01193216071673403,-1.0092013272728733e-17,-1.0097144072266978e-17,0.23851071633237822
beta_theta_pi2_g05,beta,0.5625,0.5625,1.5707963267948966,0.5,0.33333279121511844,1.6490868038318634e-17,0.35971832834665707,7.902462104665215e-18,0.27008377163468344,7.059646622854076e-18,0.026385537131538628,-0.063249019580435,-8.588405933653419e-18,-9.431221415464558e-18,0.23851071633237822
beta_theta_pi2_g05,beta,0.925,0.925,1.5707963267948966,0.5,0.295212766846929,1.8330267484276207e-17,0.43616149341174604,2.4573669072917697e-17,0.18694351593510783,1.4739308232102463e-17,0.14094872656481705,-0.10826925091182116,6.24340158864149e-18,-3.590959252173744e-18,0.23851071633237822
beta_theta_pi2_g05,beta,1.2874999999999999,1.2874999999999999,1.5707963267948966,0.5,0.2761369360009454,1.1104548119510713e-17,0.7150217242971341,6.46536685756648e-17,0.1491315281464482,1.8774002939550783e-17,0.43888478829618865,-0.1270054078544972,5.3549120456154086e-17,7.66945482004007e-18,0.23851071633237822
beta_theta_pi2_g05,beta,1.65,1.65,1.5707963267948966,0.5,0.26506290709493424,1.7307069307098405e-17,0.9729094502623823,1.1573327572000167e-16,0.1599255045237556,2.2686576453458458e-17,0.7078465431674481,-0.10513740257117865,9.842620641290326e-17,5.379507146360053e-18,0.23851071633237822
beta_theta_pi2_g05,beta,2.0125,2.0125,1.5707963267948966,0.5,0.25761023328062255,7.408769616906325e-18,0.9998747447874021,1.469902885573378e-16,0.2845570780462975,4.3711078410476987e-17,0.7422645115067796,0.026946844765674938,1.3958151894043148e-16,3.630230879357066e-17,0.23851071633237822
beta_theta_pi2_g05,beta,2.375,2.375,1.5707963267948966,0.5,0.2520141771865,1.5490781105158452e-17,0.9999999970096638,1.754558184797947e-16,0.7435277615609929,1.3084559471572714e-16,0.7479858198231638,0.4915135843744929,1.5996503737463627e-16,1.153548136105687e-16,0.23851071633237822
beta_theta_pi2_g05,beta,2.7375000000000003,2.7375000000000003,1.5707963267948966,0.5,0.24754716875852817,5.8010630998363536e-18,0.9999999999999867,2.0281131873101734e-16,0.9693039320113377,1.966118950122424e-16,0.7524528312414585,0.7217567632528095,1.97010255631181e-16,1.9081083191240605e-16,0.23851071633237822
beta_theta_pi2_g05,beta,3.1,3.1,1.5707963267948966,0.5,0.24390278102992022,8.201110446225087e-18,0.9999999999999726,2.278299105539015e-16,0.9386267396201434,2.138756229787197e-16,0.7560972189700523,0.6947239585902232,2.196288001076764e-16,2.0567451253249463e-16,0.23851071633237822
beta_theta_pi2_g05,beta,3.4625,3.4625,1.5707963267948966,0.5,0.24094739805244655,1.275069257140418e-17,0.9999999999999435,2.4981781615189907e-16,0.8810534069224971,2.2013204497523284e-16,0.7590526019474969,0.6401060088700505,2.370671235804949e-16,2.0738135240382867e-16,0.23851071633237822
beta_theta_pi2_g05,beta,3.825,3.825,1.5707963267948966,0.5,0.2386168286203733,4.355621022299321e-19,0.9999999999998833,2.6860196882334297e-16,0.782014314946064,2.1007845768525842e-16,0.7613831713795101,0.5433974863256907,2.6816640672111304e-16,2.096428955830285e-16,0.23851071633237822
beta_theta_pi2_g05,beta,4.1875,4.1875,1.5707963267948966,0.5,0.2368725099496718,2.3400402942875088e-17,0.9999999999997592,2.843705530869064e-16,0.6347023504781352,1.805146089858268e-16,0.7631274900500874,0.3978298405284634,2.6097015014403136e-16,1.571142060429517e-16,0.23851071633237822
beta_theta_pi2_g05,beta,4.55,4.55,1.5707963267948966,0.5,0.2356831607449812,1.5645891290959546e-17,0.9999999999995028,2.9749631668135134e-16,0.4569676361376206,1.3596422821926261e-16,0.7643168392545217,0.2212844753926394,2.818504253903918e-16,1.2031833692830306e-16,0.23851071633237822
beta_theta_pi2_g05,beta,4.9125,4.9125,1.5707963267948966,0.5,0.23501758804958311,1.7450216783349825e-18,0.9999999999989735,3.0840461456846626e-16,0.2895529269865057,8.931130859794984e-17,0.7649824119493904,0.054535338936922584,3.0665959289013127e-16,8.756628691961486e-17,0.23851071633237822
beta_theta_pi2_g05,beta,5.275,5.275,1.5707963267948966,0.5,0.23484240346710006,4.3125338448144996e-18,0.9999999999978807,3.17497796687499e-16,0.16485261997720296,5.2347289017706546e-17,0.7651575965307806,-0.0699897834898971,3.131852628426845e-16,4.8034755172892045e-17,0.23851071633237822
beta_theta_pi2_g05,beta,5.6375,5.6375,1.5707963267948966,0.5,0.23512185185104853,6.906483748461727e-18,0.9999999999956242,3.251227036868271e-16,0.08726020286344593,2.837403772407806e-17,0.7648781481445757,-0.1478616489876026,3.1821621993836537e-16,2.1467553975616333e-17,0.23851071633237822
beta_theta_pi2_g05,beta,6.0,6.0,1.5707963267948966,0.5,0.2358184352128152,5.139259822745521e-18,0.9999999999909652,3.3156366775714266e-16,0.04425358020613185,1.4674826408983304e-17,0.76418156477815,-0.19156485500668335,3.2642440793439714e-16,9.535566586237783e-18,0.23851071633237822
g_beta2_theta_pi2,g,0.0,2.0,1.5707963267948966,0.0,0.017986209962091555,0.0,0.01798620996209155,0.0,0.01798620996209155,0.0,-6.938893903907228e-18,-6.938893903907228e-18,0.0,0.0,1.040503
g_beta2_theta_pi2,g,0.1,2.0,1.5707963267948966,0.1,0.02891531045538099,1.4888573948801076e-19,0.02957612164163348,1.7234456832567399e-18,0.028388901409265865,1.6810247445337276e-18,0.0006608111862524899,-0.0005264090461151241,1.5745599437687291e-18,1.5321390050457168e-18,0.9171467606875274
g_beta2_theta_pi2,g,0.2,2.0,1.5707963267948966,0.2,0.06208511295590239,5.733731467499661e-20,0.12313599485520338,1.5636007234575506e-17,0.0677389913192753,9.527202299930395e-18,0.06105088189930099,0.005653878363372909,1.557866991990051e-17,9.469864985255399e-18,0.6765299089726917
g_beta2_theta_pi2,g,0.30000000000000004,2.0,1.5707963267948966,0.30000000000000004,0.1169496608004585,4.0513409213426855e-18,0.6417825497630482,9.275990523370464e-17,0.13673374219656897,2.1824943839160794e-17,0.5248328889625896,0.019784081396110473,8.870856431236194e-17,1.777360291781811e-17,0.47070934177787827
g_beta2_theta_pi2,g,0.4,2.0,1.5707963267948966,0.4,0.1870264602666579,5.170147737283724e-18,0.9844458272906762,1.4371469788393978e-16,0.21242729733745924,3.3107522910780235e-17,0.7974193670240183,0.025400837070801346,1.3854455014665604e-16,2.793737517349651e-17,0.3301088197969543
g_beta2_theta_pi2,g,0.5,2.0,1.5707963267948966,0.5,0.25783015715632535,1.952466153046355e-17,0.9998385024799811,1.4600362297174764e-16,0.27616726175002126,4.226375829323722e-17,0.7420083453236557,0.01833710459369592,1.264789614412841e-16,2.2739096762773668e-17,0.23851071633237822
g_beta2_theta_pi2,g,0.6000000000000001,2.0,1.5707963267948966,0.6000000000000001,0.3157531868910264,1.6357476911863122e-17,0.9999994036499019,1.4602754933412187e-16,0.32412944737170624,4.913953281029511e-17,0.6842462167588755,0.008376260480679854,1.2967007242225875e-16,3.2782055898431983e-17,0.17810732625813075
g_beta2_theta_pi2,g,0.7000000000000001,2.0,1.5707963267948966,0.7000000000000001,0.3568729754167177,7.429584418184764e-18,0.9999999992048474,1.4602763789446904e-16,0.3590425462202438,5.4144433035640604e-17,0.6431270237881297,0.0021695708035260886,1.3859805347628428e-16,4.671484861745584e-17,0.13707963902246226
g_beta2_theta_pi2,g,0.8,2.0,1.5707963267948966,0.8,0.3844703231438391,6.759469071598364e-18,0.9999999999996189,1.460276380126534e-16,0.3845563122890635,5.780190918258932e-17,0.6155296768557798,8.59891452243966e-05,1.3926816894105504e-16,5.104244011099095e-17,0.10829548293089092
g_beta2_theta_pi2,g,0.9,2.0,1.5707963267948966,0.9,0.4031760288987993,1.0071676303578588e-17,0.9999999999999969,1.4602763801270948e-16,0.32613555966809205,4.942711619712668e-17,0.5968239711011976,-0.07704046923070723,1.3595596170913088e-16,3.93554398935481e-17,0.08747765774097271
g_beta2_theta_pi2,g,1.0,2.0,1.5707963267948966,1.0,0.4164279200048932,5.126713704965231e-19,0.9999999999999969,1.4602763801270953e-16,0.21336216013025056,3.326070558061308e-17,0.5835720799951036,-0.20306575987464265,1.45514966642213e-16,3.274803421011656e-17,0.07200712802768167
g_beta2_theta_pi2,g,1.1,2.0,1.5707963267948966,1.1,0.4263255488976174,2.6227880198006937e-17,0.9999999999999969,1.4602763801270948e-16,0.14862016659547195,2.3979743439681133e-17,0.5736744511023795,-0.2777053823021455,1.1979975781470254e-16,-2.248136758325804e-18,0.06023346551275
g_beta2_theta_pi2,g,1.2000000000000002,2.0,1.5707963267948966,1.2000000000000002,0.4340765133917513,8.260926083530602e-18,0.9999999999999969,1.4602763801270948e-16,0.11027999385144294,1.848356279576915e-17,0.5659234866082457,-0.32379651954030836,1.3776671192917889e-16,1.0222636712238549e-17,0.0510851826394344
g_beta2_theta_pi2,g,1.3,2.0,1.5707963267948966,1.3,0.4403768562348796,1.6562425724258006e-17,0.9999999999999969,1.460276380127095e-16,0.08636709729707187,1.5055576175587003e-17,0.5596231437651173,-0.35400975893780773,1.294652122884515e-16,-1.506849548671003e-18,0.043846653041444555
g_beta2_theta_pi2,g,1.4000000000000001,2.0,1.5707963267948966,1.4000000000000001,0.445641554977254,1.5156163440283523e-17,0.9999999999999969,1.4602763801270948e-16,0.07065703786028849,1.2803491262782261e-17,0.5543584450227429,-0.3749845171169655,1.3087147457242595e-16,-2.352672177501262e-18,0.038027300635918415
g_beta2_theta_pi2,g,1.5,2.0,1.5707963267948966,1.5,0.45013046691491176,1.3317324696287588e-17,0.9999999999999969,1.4602763801270953e-16,0.05984835865235666,1.125403414777382e-17,0.5498695330850851,-0.3902821082625551,1.3271031331642194e-16,-2.0632905485137682e-18,0.03328278288684527
g_beta2_theta_pi2,g,1.6,2.0,1.5707963267948966,1.6,0.4540153027955285,6.192005620440377e-19,0.9999999999999969,1.460276380127095e-16,0.05211280147710684,1.0145118444646118e-17,0.5459846972044684,-0.40190250131842165,1.4540843745066547e-16,9.52591788260208e-18,0.02936619440054188
g_beta2_theta_pi2,g,1.7000000000000002,2.0,1.5707963267948966,1.7000000000000002,0.4574155002390932,2.2740442706743327e-17,0.9999999999999969,1.460276380127095e-16,0.04638923093841896,9.324627159465357e-18,0.5425844997609037,-0.41102626930067426,1.2328719530596618e-16,-1.341581554727797e-17,0.026097064245494784
g_beta2_theta_pi2,g,1.8,2.0,1.5707963267948966,1.8,0.4604179423513787,1.2325640828994944e-17,0.9999999999999969,1.4602763801270948e-16,0.04203369870166551,8.700248335368719e-18,0.5395820576486182,-0.41838424364971316,1.3370199718371455e-16,-3.625392493626225e-18,0.023341177262326707
g_beta2_theta_pi2,g,1.9000000000000001,2.0,1.5707963267948966,1.9000000000000001,0.4630882048915323,4.682792543568297e-18,0.9999999999999969,1.4602763801270948e-16,0.03863936713123961,8.213660557036387e-18,0.5369117951084645,-0.4244488377602927,1.4134484546914119e-16,3.53086801346809e-18,0.020997144558011882
g_beta2_theta_pi2,g,2.0,2.0,1.5707963267948966,2.0,0.4654772558102505,1.802968068999404e-17,0.9999999999999969,1.4602763801270953e-16,0.03593984715102749,7.82667613831319e-18,0.5345227441897464,-0.429537408659223,1.279979573227155e-16,-1.020300455168085e-17,0.01898728102189781
g_beta2_theta_pi4,g,0.0,2.0,0.7853981633974483,0.0,0.017986209962091555,0.0,0.01798620996209155,0.0,0.01798620996209155,0.0,-6.938893903907228e-18,-6.938893903907228e-18,0.0,0.0,1.0202515
g_beta2_theta_pi4,g,0.1,2.0,0.7853981633974483,0.1,0.02336712020528197,0.012347306444990458,0.023068324556487274,0.012341872956587195,0.02283233660830991,0.012272071028080662,-0.00029879564879469606,-0.0005347835969720591,-5.433488403263145e-06,-7.52354169097965e-05,0.9585733803437637
g_beta2_theta_pi4,g,0.2,2.0,0.7853981633974483,0.2,0.0387330200231973,0.04718362692899279,0.04660169003825915,0.06949245498739223,0.040034501059256766,0.062499247429122294,0.007868670015061849,0.001301481036059468,0.02230882805839944,0.015315620500129502,0.8382649544863459
g_beta2_theta_pi4,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,0.06135364535012318,0.0972444771975775,0.10793191905725896,0.21843240525643945,0.06839041634420412,0.15020272905819154,0.046578273707135784,0.00703677099408094,0.12118792805886194,0.052958251860614036,0.7353546708889391
g_beta2_theta_pi4,g,0.4,2.0,0.7853981633974483,0.4,0.08617844214964597,0.1502814154490515,0.1621629546871664,0.35013202351899414,0.08076862461339562,0.19252383948461896,0.07598451253752043,-0.005409817536250347,0.19985060806994265,0.042242424035567466,0.6650544098984771
g_beta2_theta_pi4,g,0.5,2.0,0.7853981633974483,0.5,0.10787756975607238,0.19458177143437683,0.17330945190019703,0.37720119914637545,0.07652874643919244,0.1870339628226071,0.06543188214412465,-0.03134882331687994,0.18261942771199863,-0.007547808611769735,0.619255358166189
g_beta2_theta_pi4,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.12403357441628797,0.2257805859514722,0.17411739591740127,0.37916328446168235,0.07170569422796164,0.17773256848536118,0.050083821501113304,-0.052327880188326334,0.15338269851021014,-0.04804801746611104,0.5890536631290653
