beta,n_cut,ed_p00,ed_coh,ordered_p00,ed_minus_ordered_p00,d_ed,d_ordered,dp00_dbeta,dprime_minus_w2,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,d_v12,d_raw
0.4,3,0.3218493168287472,8.640544100482175e-17,0.3627796739340557,-0.0409303571053085,0.0273569830225779,0.1183401072839758,-0.2586975842331954,-0.6623786477762429,0.3543502443384818,2.887306613431966e-18,0.3711041082203226,3.978651037518269e-18,0.10001431597068489,0.1362584546268822
0.8,3,0.218370283135469,1.9438424612273202e-16,0.3053042363607263,-0.0869339532252572,0.1624055239120808,0.3889173880691877,-0.1821547163935823,-0.4984594176036289,0.27962433551495797,8.564639844296883e-18,0.3908300932866521,1.7095758204643048e-17,0.3268371056460655,0.5780878498800415
1.2,3,0.1761255437138812,2.9607721975541075e-16,0.2797476004425521,-0.1036220567286708,0.4285894489396749,0.727143032063879,-0.0689227099953894,-0.2244903467340411,0.24505631935022743,1.5446069138957104e-17,0.6297839340298014,5.215471965687637e-17,0.6374224538628126,1.4656450007114352
1.6,3,0.1632321151391575,3.906645978510712e-16,0.2663144983431521,-0.1030823832039945,0.782813246524848,1.0932987350238277,-0.0183842672344685,-0.0655581465111917,0.23771326188995145,2.3837760332637815e-17,0.9564233572390857,1.1012661125382162e-16,1.0173711918630512,3.14433968350557
2.0,3,0.1614181299263064,4.824835412055416e-16,0.2578301571563253,-0.0964120272300188,1.1761429317307217,1.4713614734312443,-1.921776371757028e-05,-7.035236561547809e-05,0.25024611634985783,3.453757905116448e-17,0.9998384996039794,1.4600368009043384e-16,1.451349950725443,6.365420724863051
2.4,3,0.1632167409281834,5.739716159643639e-16,0.2516748739947956,-0.0884581330666121,1.5827569646323556,1.855150263988624,0.0056318326365898,0.0205728402900033,0.27542970169626324,4.780191147362936e-17,0.9999999989343278,1.7739452218716188e-16,1.9163768213136332,12.729830023017643
2.8,3,0.1659235960355783,6.659086099772856e-16,0.2468652590813337,-0.0809416630457554,1.9926012039627243,2.24229926369797,0.0067542260393736,0.0244047694124391,0.3045546498072258,6.260667940079669e-17,1.0,2.0731856414093365e-16,2.3871490564860105,20.06978799617044
3.2,3,0.1686201217596823,7.583217893681508e-16,0.243022176653128,-0.0744020548934456,2.402280780162307,2.6319093717808992,0.0063766047122518,0.0227603069216419,0.32962959795376556,7.694315535282404e-17,1.0,2.34214517560293e-16,2.845069597559852,20.46978799617044
3.6,3,0.1710248798053798,8.509910634645826e-16,0.2399922225645525,-0.0689673427591727,2.810809449500038,3.023638925070083,0.0055738287497094,0.0196741898708665,0.34631469981292695,8.898689344782441e-17,1.0,2.573164587158369e-16,3.2823609277193233,20.86978799617044
4.0,3,0.1730791847594499,9.43663544795677e-16,0.2377035326123121,-0.0646243478528622,3.2180201320590003,3.4173443455319776,0.0047184566882086,0.0164970768826435,0.35420429537774334,9.790286720055483e-17,1.0,2.7657141655332024e-16,3.6996953226039704,21.26978799617044
4.4,3,0.1747996451559467,1.0361289704444033e-15,0.2361099576260218,-0.0613103124700751,3.624007111006153,3.812936881723747,0.0039329298274676,0.0136422066061567,0.35505949010350935,1.0377666450164622e-16,1.0,2.9235969974538936e-16,4.1015636366843715,21.66978799617044
4.8,3,0.176225528621424,1.1282371435711101e-15,0.2351700548056449,-0.0589445261842209,4.028933897343926,4.210327687331816,0.0032503749727346,0.0112015100568654,0.3511031488285661,1.0715494285964509e-16,1.0,3.0523325667274685e-16,4.492903141274464,22.06978799617044
5.2,3,0.1773999451341345,1.2198937106752925e-15,0.2348401384988419,-0.0574401933647074,4.432968319051645,4.609410119838033,0.0026721907925136,0.0091601452158749,0.34418393043080486,1.0866970008490561e-16,1.0,3.157497844778343e-16,4.877647914045792,22.46978799617044
5.6,3,0.178363281255435,1.3110493712619542e-15,0.2350729458477693,-0.0567096645923343,4.836262013516626,5.010057699304888,0.0021890254117023,0.0074714638936699,0.33558699195732267,1.0886015715824229e-16,1.0,3.2439607913143044e-16,5.258488628553374,22.869787996170437
6.0,3,0.1791511654634963,1.4016884401239289e-15,0.2358184352128152,-0.0566672697493188,5.238945490166581,5.412128377717086,0.0019697105201534,0.006708691624889,0.32612076115051825,1.0812956124330687e-16,1.0,3.31567158439122e-16,5.6371084108687874,23.26978799617044
0.4,4,0.3256586887031718,3.860220107702017e-17,0.3627796739340557,-0.0371209852308839,0.0360567432129485,0.1183401072839758,-0.225353130199929,-0.561909690097335,0.3543502443384818,2.887306613431966e-18,0.3711041082203226,3.978651037518269e-18,0.10001431597068489,0.1362584546268822
0.8,4,0.2355174366232001,1.6056235836233779e-16,0.3053042363607263,-0.0697867997375261,0.2112928671740145,0.3889173880691877,-0.1488481536072056,-0.3861109024414585,0.27962433551495797,8.564639844296883e-18,0.3908300932866521,1.7095758204643048e-17,0.3268371056460655,0.5780878498800415
1.2,4,0.2065801658174072,3.0409709243697463e-16,0.2797476004425521,-0.0731674346251448,0.5271680212597818,0.727143032063879,-0.040943310167464,-0.1198132707430599,0.24505631935022743,1.5446069138957104e-17,0.6297839340298014,5.215471965687637e-17,0.6374224538628126,1.4656450007114352
1.6,4,0.2027627884892289,4.534093453502337e-16,0.2663144983431521,-0.0635517098539231,0.9154422505795666,1.0932987350238277,0.0002164885871572,0.0006602049054782,0.23771326188995145,2.3837760332637815e-17,0.9564233572390857,1.1012661125382162e-16,1.0173711918630512,3.14433968350557
2.0,4,0.2067533566871331,6.060110662617691e-16,0.2578301571563253,-0.0510768004691922,1.3276961851841644,1.4713614734312443,0.0120457051645076,0.0366203572190391,0.25024611634985783,3.453757905116448e-17,0.9998384996039794,1.4600368009043384e-16,1.451349950725443,6.365420724863051
2.4,4,0.212399352620835,7.606567721559624e-16,0.2516748739947956,-0.0392755213739605,1.744738536354798,1.855150263988624,0.0137674466748545,0.0411765667812855,0.27542970169626324,4.780191147362936e-17,0.9999999989343278,1.7739452218716188e-16,1.9163768213136332,12.729830023017643
2.8,4,0.2177673140270167,9.15841650836052e-16,0.2468652590813337,-0.029097945054317,2.160637438609193,2.24229926369797,0.0124304531376954,0.0365392155364541,0.3045546498072258,6.260667940079669e-17,1.0,2.0731856414093365e-16,2.3871490564860105,20.06978799617044
3.2,4,0.2223437151309914,1.0702000660221998e-15,0.243022176653128,-0.0206784615221365,2.5739699087839614,2.6319093717808992,0.0103860489709431,0.030077216735538,0.32962959795376556,7.694315535282404e-17,1.0,2.34214517560293e-16,2.845069597559852,20.46978799617044
3.6,4,0.2260761532037712,1.2227620656722357e-15,0.2399922225645525,-0.0139160693607813,2.9846992119976234,3.023638925070083,0.0083874613968669,0.0239986536132399,0.34631469981292695,8.898689344782441e-17,1.0,2.573164587158369e-16,3.2823609277193233,20.86978799617044
4.0,4,0.2290536842484849,1.3729746773238184e-15,0.2377035326123121,-0.0086498483638271,3.3931688316745534,3.4173443455319776,0.0066533969642695,0.0188577271605103,0.35420429537774334,9.790286720055483e-17,1.0,2.7657141655332024e-16,3.6996953226039704,21.26978799617044
4.4,4,0.2313988707751869,1.5206201219991096e-15,0.2361099576260218,-0.0047110868508349,3.799785393726032,3.812936881723747,0.0052217050082018,0.0146915016409341,0.35505949010350935,1.0377666450164622e-16,1.0,2.9235969974538936e-16,4.1015636366843715,21.66978799617044
4.8,4,0.2332310482550464,1.6657132133503254e-15,0.2351700548056449,-0.0019390065505985,4.204922032987301,4.210327687331816,0.0040696653139064,0.011385399946703,0.3511031488285661,1.0715494285964509e-16,1.0,3.0523325667274685e-16,4.492903141274464,22.06978799617044
5.2,4,0.234654603026312,1.8084118269843333e-15,0.2348401384988419,-0.0001855354725298,4.608893713683394,4.609410119838033,0.0031567756783884,0.0087929986858856,0.34418393043080486,1.0866970008490561e-16,1.0,3.157497844778343e-16,4.877647914045792,22.46978799617044
5.6,4,0.2357564687977571,1.9489496637777767e-15,0.2350729458477693,0.0006835229499878,5.011956431936009,5.010057699304888,0.0024406007873366,0.0067753762031317,0.33558699195732267,1.0886015715824229e-16,1.0,3.2439607913143044e-16,5.258488628553374,22.869787996170437
6.0,4,0.2366070836561814,2.0875902831591225e-15,0.2358184352128152,0.0007886484433662,5.4143140146459,5.412128377717086,0.0021265371460606,0.005893956774726,0.32612076115051825,1.0812956124330687e-16,1.0,3.31567158439122e-16,5.6371084108687874,23.26978799617044
0.4,5,0.3292609822588347,8.875536328357113e-18,0.3627796739340557,-0.0335186916752209,0.0442352896891619,0.1183401072839758,-0.1966923826212145,-0.4799630834014657,0.3543502443384818,2.887306613431966e-18,0.3711041082203226,3.978651037518269e-18,0.10001431597068489,0.1362584546268822
