key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s
0.60000000|2|6,ok,,2026-02-20 10:32:39,0.6,1.5707963267948966,0.5,2,6,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.2873777437352421,3.363916478734897e-17,0.068842599997879
1.63076923|2|6,ok,,2026-02-20 10:32:39,1.6307692307692307,1.5707963267948966,0.5,2,6,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.2601252346217426,2.7107488256531068e-16,0.06896840000263182
2.66153846|2|6,ok,,2026-02-20 10:32:39,2.661538461538462,1.5707963267948966,0.5,2,6,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.2818399377425862,5.522773845851858e-16,0.06789779999962775
3.69230769|2|6,ok,,2026-02-20 10:32:39,3.692307692307693,1.5707963267948966,0.5,2,6,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.29324848452067803,8.297013538202183e-16,0.06775480000214884
4.72307692|2|6,ok,,2026-02-20 10:32:39,4.723076923076923,1.5707963267948966,0.5,2,6,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.2983172839330772,1.097537461866076e-15,0.06820480000169482
5.75384615|2|6,ok,,2026-02-20 10:32:39,5.753846153846154,1.5707963267948966,0.5,2,6,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3005378346374703,1.3573187064511583e-15,0.06783739999809768
6.78461538|2|6,ok,,2026-02-20 10:32:39,6.784615384615385,1.5707963267948966,0.5,2,6,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.30152350445517456,1.6116859769839285e-15,0.06796469999972032
7.81538462|2|6,ok,,2026-02-20 10:32:39,7.815384615384616,1.5707963267948966,0.5,2,6,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.30196837261205955,1.8627384138617955e-15,0.06843040000239853
8.84615385|2|6,ok,,2026-02-20 10:32:39,8.846153846153847,1.5707963267948966,0.5,2,6,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3021719161748022,2.111860274474647e-15,0.06740800000261515
9.87692308|2|6,ok,,2026-02-20 10:32:39,9.876923076923077,1.5707963267948966,0.5,2,6,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.3022659189115516,2.3598925940612316e-15,0.06853599999885773
10.90769231|2|6,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,6,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.30230955047172325,2.6073230405719302e-15,0.07133260000409791
11.93846154|2|6,ok,,2026-02-20 10:32:40,11.938461538461539,1.5707963267948966,0.5,2,6,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.30232980725227676,2.8544256579851914e-15,0.06814859999576584
12.96923077|2|6,ok,,2026-02-20 10:32:40,12.969230769230771,1.5707963267948966,0.5,2,6,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3023391498954073,3.1013508868985125e-15,0.0714083999991999
14.00000000|2|6,ok,,2026-02-20 10:32:40,14.0,1.5707963267948966,0.5,2,6,0.40272163092673524,1.7789683261767347e-18,0.15709817374634244,6.091070677931855e-17,1.0,3.877238374401448e-16,0.30234337568207154,3.348179770596293e-15,0.06978099999832921
0.60000000|2|8,ok,,2026-02-20 10:32:40,0.6,1.5707963267948966,0.5,2,8,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.3018946175052775,2.2395853268963548e-18,0.006385699998645578
1.63076923|2|8,ok,,2026-02-20 10:32:40,1.6307692307692307,1.5707963267948966,0.5,2,8,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.2979598149617761,6.172995788998283e-17,0.006437399999413174
2.66153846|2|8,ok,,2026-02-20 10:32:40,2.661538461538462,1.5707963267948966,0.5,2,8,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.3202794925521559,1.128240643013241e-16,0.006203999997524079
