delta,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
0.2,0.40000000000000013,1.8,2.2,0.6,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.24052079304438528,4.5014965124650335e-18,0.23970530157201614,5.761011186173814e-19,0.24260419048735812,1.090977610510747e-17,0.0020833974429728397,0.002898888915341985,6.408279592642436e-18,1.0333674986490087e-17
0.2,0.40000000000000013,1.8,2.2,1.54,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.06431544853289754,7.528832078179779e-18,0.06245421808780033,2.146580085663981e-18,0.07003172679593704,8.14425061560251e-18,0.005716278263039498,0.007577508708136713,6.154185374227309e-19,5.9976705299385284e-18
0.2,0.40000000000000013,1.8,2.2,2.48,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.026583925880214947,8.735150246229727e-19,0.0299387706961588,4.12331036666968e-18,0.029587956665152168,1.6515415524224318e-17,0.0030040307849372207,-0.00035081403100663267,1.5641900499601345e-17,1.2392105157554637e-17
0.2,0.40000000000000013,1.8,2.2,3.4200000000000004,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.020544952609753146,1.754331467541083e-18,0.06583198229490972,1.4429893765010105e-17,0.020464660973957098,1.838801186232893e-17,-8.029163579604745e-05,-0.04536732132095262,1.6633680394787845e-17,3.958118097318825e-18
0.2,0.40000000000000013,1.8,2.2,4.36,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.021010348470458046,4.597152794213588e-19,0.2072828880497376,4.964005406509583e-17,0.018292246073098137,1.8801998186658573e-17,-0.002718102397359909,-0.18899064197663945,1.8342282907237213e-17,-3.0838055878437255e-17
0.2,0.40000000000000013,1.8,2.2,5.3,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.022794770192139224,1.0954703330651223e-18,0.3014837938331455,7.366883987204323e-17,0.017755787683962746,1.8897138798232873e-17,-0.0050389825081764775,-0.28372800614918275,1.7801668465167752e-17,-5.477170107381036e-17
0.2,0.40000000000000013,1.8,2.2,6.24,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.024786167799015157,7.567108736792604e-18,0.31154171666762837,7.648011290516153e-17,0.01762089688871411,1.8919763700632053e-17,-0.007165270910301048,-0.29392081977891427,1.1352654963839448e-17,-5.756034920452948e-17
0.2,0.40000000000000013,1.8,2.2,7.18,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.026765969919218178,6.582301112586532e-19,0.29513993659702265,7.252684065663858e-17,0.01758668652478364,1.892528126492418e-17,-0.009179283394434537,-0.277553250072239,1.826705115366553e-17,-5.36015593917144e-17
0.2,0.40000000000000013,1.8,2.2,8.120000000000001,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.028725002809620585,1.626852484605241e-17,0.2736567847072654,6.726219207646448e-17,0.017577973890623908,1.8926650257405852e-17,-0.011147028918996677,-0.25607881081664147,2.6581254113534433e-18,-4.833554181905863e-17
0.2,0.40000000000000013,1.8,2.2,9.06,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.03068456222185639,3.2229929197408617e-18,0.2520832854140028,6.196286252464683e-17,0.017575750214168056,1.8926993792273037e-17,-0.013108812007688334,-0.23450753519983478,1.5704000872532176e-17,-4.303586873237379e-17
0.2,0.40000000000000013,1.8,2.2,10.0,2.0,1.5707963267948966,0.5,3,4,0.19999999999999996,0.0,0.6990292757659671,0.03351527537813712,9.978503944624331e-19,0.2314642340217275,5.68957726101523e-17,0.017575182019216023,1.8927080626275692e-17,-0.0159400933589211,-0.2138890520025115,1.792923023181326e-17,-3.7968691983876615e-17
0.2,0.40000000000000013,1.8,2.2,0.6,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.24052079304438528,4.5014965124650335e-18,0.23970530157201614,5.761011186173814e-19,0.24320518183809287,5.666200442919355e-18,0.0026843887937075817,0.003499880266076727,1.1647039304543215e-18,5.090099324301974e-18
0.2,0.40000000000000013,1.8,2.2,1.54,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.06431544853289754,7.528832078179779e-18,0.06245421808780033,2.146580085663981e-18,0.07005289551761203,8.42250685135392e-18,0.005737446984714484,0.007598677429811698,8.936747731741416e-19,6.275926765689939e-18
0.2,0.40000000000000013,1.8,2.2,2.48,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.026583925880214947,8.735150246229727e-19,0.0299387706961588,4.12331036666968e-18,0.02958863748361027,1.48944084704298e-17,0.0030047116033953235,-0.00035013321254852986,1.402089344580683e-17,1.077109810376012e-17
0.2,0.40000000000000013,1.8,2.2,3.4200000000000004,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.020544952609753146,1.754331467541083e-18,0.06583198229490972,1.4429893765010105e-17,0.020464759814335348,1.6640171270525342e-17,-8.019279541779736e-05,-0.04536722248057437,1.488583980298426e-17,2.210277505515237e-18
0.2,0.40000000000000013,1.8,2.2,4.36,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.021010348470458046,4.597152794213588e-19,0.2072828880497376,4.964005406509583e-17,0.018292294737369506,1.709308198117009e-17,-0.0027180537330885393,-0.1889905933123681,1.663336670174873e-17,-3.254697208392574e-17
0.2,0.40000000000000013,1.8,2.2,5.3,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.022794770192139224,1.0954703330651223e-18,0.3014837938331455,7.366883987204323e-17,0.017755826915440944,1.7209960636162053e-17,-0.0050389432766982795,-0.2837279669177046,1.611449030309693e-17,-5.645887923588118e-17
0.2,0.40000000000000013,1.8,2.2,6.24,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.024786167799015157,7.567108736792604e-18,0.31154171666762837,7.648011290516153e-17,0.01762093364807673,1.7239936795381523e-17,-0.007165234150938428,-0.29392078301955166,9.672828058588918e-18,-5.924017610978001e-17
0.2,0.40000000000000013,1.8,2.2,7.18,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.026765969919218178,6.582301112586532e-19,0.29513993659702265,7.252684065663858e-17,0.01758672256634702,1.7247598409765094e-17,-0.009179247352871157,-0.2775532140306756,1.6589368298506442e-17,-5.527924224687349e-17
0.2,0.40000000000000013,1.8,2.2,8.120000000000001,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.028725002809620585,1.626852484605241e-17,0.2736567847072654,6.726219207646448e-17,0.017578009719390084,1.7249554143986435e-17,-0.011146993090230501,-0.2560787749878753,9.810292979340263e-19,-5.0012637932478044e-17
0.2,0.40000000000000013,1.8,2.2,9.06,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.03068456222185639,3.2229929197408617e-18,0.2520832854140028,6.196286252464683e-17,0.017575785980092934,1.7250053311191258e-17,-0.013108776241763456,-0.2345074994339099,1.4027060391450397e-17,-4.471280921345557e-17
0.2,0.40000000000000013,1.8,2.2,10.0,2.0,1.5707963267948966,0.5,3,5,0.19999999999999996,0.0,0.6990292757659671,0.03351527537813712,9.978503944624331e-19,0.2314642340217275,5.68957726101523e-17,0.017575217766776407,1.7250180761751637e-17,-0.015940057611360716,-0.2138890162549511,1.6252330367289205e-17,-3.9645591848400664e-17
0.2,0.40000000000000013,1.8,2.2,0.6,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.24052079304438528,4.5014965124650335e-18,0.23970530157201614,5.761011186173814e-19,0.24344528505890903,1.1615710451553815e-17,0.002924492014523744,0.0037399834868928894,7.114213939088781e-18,1.1039609332936434e-17
0.2,0.40000000000000013,1.8,2.2,1.54,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.06431544853289754,7.528832078179779e-18,0.06245421808780033,2.146580085663981e-18,0.07005464715274654,1.677240023637558e-17,0.0057391986198489925,0.007600429064946207,9.243568158195802e-18,1.46258201507116e-17
0.2,0.40000000000000013,1.8,2.2,2.48,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.026583925880214947,8.735150246229727e-19,0.0299387706961588,4.12331036666968e-18,0.029588653054779493,2.0977558316928496e-17,0.0030047271745645455,-0.0003501176413793078,2.0104043292305524e-17,1.6854247950258815e-17
0.2,0.40000000000000013,1.8,2.2,3.4200000000000004,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.020544952609753146,1.754331467541083e-18,0.06583198229490972,1.4429893765010105e-17,0.02046476075702041,2.23182661596913e-17,-8.019185273273541e-05,-0.04536722153788931,2.056393469215022e-17,7.888372394681197e-18
0.2,0.40000000000000013,1.8,2.2,4.36,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.021010348470458046,4.597152794213588e-19,0.2072828880497376,4.964005406509583e-17,0.01829229506222738,2.2620760446625866e-17,-0.002718053408230666,-0.18899059298751023,2.2161045167204507e-17,-2.701929361846996e-17
