window_name,window_family,n_modes,bandwidth,omega_min,omega_max,rmse_cut4_vs_cut6_p00,rmse_cut5_vs_cut6_p00
center_d0.15,centered,2,0.29999999999999993,0.85,1.15,0.000953978111156275,0.00032011403666735376
center_d0.30,centered,2,0.6000000000000001,0.7,1.3,0.002647070334846334,0.0008132781514244587
center_d0.50,centered,2,1.0,0.5,1.5,0.011297926486795527,0.003267349423963468
center_d0.80,centered,2,1.6,0.19999999999999996,1.8,0.03180215108285003,0.012709094027380652
ratio_r2.0,ratio,2,1.95,0.05,2.0,0.03880841272785482,0.01681630157361426
center_d1.20,centered,2,2.1500000000000004,0.05,2.2,0.04017047451723432,0.017344330630097916
ratio_r3.0,ratio,2,2.95,0.05,3.0,0.04478240411603045,0.019080373798500316
ratio_r4.0,ratio,2,3.95,0.05,4.0,0.04864917780953373,0.020451661173755478
ratio_r5.0,ratio,2,4.95,0.05,5.0,0.05065359286659776,0.021074536852066294
ratio_r6.0,ratio,2,5.95,0.05,6.0,0.0512789026044114,0.021160351233657698
center_d0.15,centered,3,0.29999999999999993,0.85,1.15,0.0006730444786708782,0.00023192019336128194
center_d0.30,centered,3,0.6000000000000001,0.7,1.3,0.0015486232743650828,0.0005136917921156228
center_d0.50,centered,3,1.0,0.5,1.5,0.004185819322855958,0.0013109008632413545
center_d0.80,centered,3,1.6,0.19999999999999996,1.8,0.02066660802190352,0.007903301785952324
ratio_r2.0,ratio,3,1.95,0.05,2.0,0.02555263228918152,0.011067197082695504
center_d1.20,centered,3,2.1500000000000004,0.05,2.2,0.026580131879861184,0.011514325973912635
ratio_r3.0,ratio,3,2.95,0.05,3.0,0.030637988871123782,0.013249657949514928
ratio_r4.0,ratio,3,3.95,0.05,4.0,0.03544730764946011,0.015251918046111191
ratio_r5.0,ratio,3,4.95,0.05,5.0,0.03967746656159796,0.01696511684489479
ratio_r6.0,ratio,3,5.95,0.05,6.0,0.04317320876707492,0.018341669526030502
center_d0.15,centered,4,0.29999999999999993,0.85,1.15,0.0005871767324949507,0.00020416694299700802
center_d0.30,centered,4,0.6000000000000001,0.7,1.3,0.0012894926720468747,0.00043506667569622153
center_d0.50,centered,4,1.0,0.5,1.5,0.002971768982698152,0.0009766538764220708
center_d0.80,centered,4,1.6,0.19999999999999996,1.8,0.014243571932419648,0.00521474356871758
ratio_r2.0,ratio,4,1.95,0.05,2.0,0.01954516937809136,0.008358213251982638
center_d1.20,centered,4,2.1500000000000004,0.05,2.2,0.020271539473116603,0.008687274388133841
ratio_r3.0,ratio,4,2.95,0.05,3.0,0.02329400112345319,0.010030741376280003
ratio_r4.0,ratio,4,3.95,0.05,4.0,0.02722004000836953,0.011738260896724017
ratio_r5.0,ratio,4,4.95,0.05,5.0,0.031053919674530178,0.013374962923292918
ratio_r6.0,ratio,4,5.95,0.05,6.0,0.03461057096458738,0.014866111058245618
