key,status,error,timestamp,elapsed_s,window_name,window_family,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,case,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_cont_p00,best_cont_coh,best_disc_p00,best_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
center_d0.15|0.60000000|2|4,ok,,2026-02-20 11:19:01,0.001382200003718026,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,2,4,m2c4,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36596870833599515,7.374187525986812e-19,0.3623921427952615,8.419638005222953e-18,0.0012273057610625582,0.0018464952205207719,-0.003576565540733656,4.177706366711533e-18,8.026224562861291e-18,7.682219252624273e-18
center_d0.15|0.60000000|2|5,ok,,2026-02-20 11:19:01,0.001191799994558096,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,2,5,m2c5,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36596870833599515,7.374187525986812e-19,0.3637011326508206,6.386691584376878e-18,0.0025362956166216644,0.003155485076079878,-0.00226757568517455,2.144759945865457e-18,5.9932781420152155e-18,5.6492728317781966e-18
center_d0.15|0.60000000|2|6,ok,,2026-02-20 11:19:01,0.0018334999986109324,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,2,6,m2c6,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36596870833599515,7.374187525986812e-19,0.3646013394286003,6.330531860743155e-18,0.003436502394401353,0.0040556918538595665,-0.0013673689073948614,2.088600222231734e-18,5.9371184183814925e-18,5.593113108144474e-18
center_d0.15|0.60000000|3|4,ok,,2026-02-20 11:19:01,0.006672100003925152,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,3,4,m3c4,0.15000000000000002,0.0,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36323951517860154,5.642956797609256e-19,0.3604795541636714,8.30577790613138e-18,-0.0006852828705275482,-6.609341106933453e-05,-0.0027599610149301457,4.0638462676199595e-18,7.912364463769718e-18,7.741482226370454e-18
center_d0.15|0.60000000|3|5,ok,,2026-02-20 11:19:01,0.020571299995935988,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,3,5,m3c5,0.15000000000000002,0.0,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36323951517860154,5.642956797609256e-19,0.3614834194624553,3.268117488081367e-18,0.0003185824282563865,0.0009377718877146002,-0.001756095716146211,-9.738141504300537e-19,2.8747040457197047e-18,2.7038218083204413e-18
center_d0.15|0.60000000|3|6,ok,,2026-02-20 11:19:01,0.07388939999509603,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,3,6,m3c6,0.15000000000000002,0.0,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36323951517860154,5.642956797609256e-19,0.3621703761740049,8.136742952179112e-18,0.0010055391398059443,0.001624728599264158,-0.0010691390045966531,3.894811313667691e-18,7.743329509817449e-18,7.572447272418185e-18
center_d0.15|0.60000000|4|4,ok,,2026-02-20 11:19:01,0.11936269999569049,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,4,4,m4c4,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36230493719858115,5.05011854353344e-19,0.3598278789668056,6.530126031319284e-18,-0.0013369580673933124,-0.0007177686079350987,-0.0024770582317755196,2.2881943928078633e-18,6.136712588957622e-18,6.02511417696594e-18
center_d0.15|0.60000000|4|5,ok,,2026-02-20 11:19:02,1.0457721999991918,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,4,5,m4c5,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36230493719858115,5.05011854353344e-19,0.36072690212547837,2.228235242981029e-18,-0.00043793490872057195,0.00018125455073764174,-0.0015780350731027792,-2.0136963955303916e-18,1.8348218006193668e-18,1.7232233886276851e-18
center_d0.15|0.60000000|4|6,ok,,2026-02-20 11:19:03,7.083134499996959,center_d0.15,centered,0.29999999999999993,0.85,1.15,0.6,1.0,1.5707963267948966,0.5,4,6,m4c6,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.36116483703419894,4.241931638511421e-18,0.3605456475747407,3.9341344236166223e-19,0.36230493719858115,5.05011854353344e-19,0.3613410556488109,7.589320765764139e-18,0.00017621861461197819,0.0007954080740701919,-0.0009638815497702291,3.3473891272527184e-18,7.195907323402477e-18,7.084308911410796e-18
center_d0.15|1.54000000|2|4,ok,,2026-02-20 11:19:10,0.009843499996350147,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,2,4,m2c4,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.22583839843590653,3.727740963672935e-18,0.22643102057221726,2.4248114974938034e-17,0.01951454802989741,0.02284970966473998,0.0005926221363107276,1.532533378036982e-17,2.220320703561016e-17,2.0520374011265098e-17
