window_name,window_family,case,n_modes,n_cut,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_disc_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_disc_coh,p00_at_beta2,p00_at_beta8
center_d0.80,centered,m2c6,2,6,1.6,0.19999999999999996,1.8,0.8,0.7724823535071382,0.09402499835581545,0.05084286389934604,0.011036037004356687,1.412099327540866e-16,8.81545265089524e-17,7.22572279801082e-17,0.33245289546115364,0.35658515100702487
center_d0.80,centered,m2c5,2,5,1.6,0.19999999999999996,1.8,0.8,0.7724823535071382,0.08178481331188865,0.0424647181435951,0.01875239607604025,1.0356707977606167e-16,4.590896742153621e-17,3.1587317912609717e-17,0.32200309704938973,0.34250224377273597
center_d0.80,centered,m3c6,3,6,1.6,0.19999999999999996,1.8,0.0,0.7724823535071382,0.058587025872109726,0.038522412122561744,0.031684332883279716,2.0129735136086895e-16,1.444617854953478e-16,1.3639739451459918e-16,0.311928020622226,0.31347544260216575
center_d0.80,centered,m2c4,2,4,1.6,0.19999999999999996,1.8,0.8,0.7724823535071382,0.06340259322828337,0.035969279293045726,0.036178676954486316,1.652428411096201e-17,6.308747972783158e-17,7.8755309022834e-17,0.30812277073917105,0.3205729323784452
center_d0.80,centered,m3c5,3,5,1.6,0.19999999999999996,1.8,0.0,0.7724823535071382,0.051253518800106604,0.0388744677963449,0.037630437769151384,2.2959281270673324e-17,4.259139265382004e-17,5.066123114479315e-17,0.30518700262154635,0.3048839391180544
ratio_r4.0,ratio,m4c6,4,6,3.95,0.05,4.0,0.3666666666666667,0.4060058497098381,0.02577196624152001,0.0284449437227498,0.04025230465073182,8.303189527464781e-17,4.228571565849892e-17,3.719959611905744e-17,0.31692448767083437,0.31975149492707056
ratio_r3.0,ratio,m4c6,4,6,2.95,0.05,3.0,0.03333333333333344,0.5578254003710745,0.022936108702946247,0.033054651329149316,0.041692016552683835,4.6771783634067084e-17,1.6481072058732324e-17,2.3787413223537825e-17,0.31371045117788304,0.3110420858584171
ratio_r5.0,ratio,m4c6,4,6,4.95,0.05,5.0,0.7000000000000002,0.2872974951836458,0.02841061241108514,0.026907984016002882,0.042816412756533286,8.951914600136043e-18,5.176243109563812e-17,6.712038346292247e-17,0.31564811368942985,0.32313389431866807
ratio_r6.0,ratio,m4c6,4,6,5.95,0.05,6.0,0.95,0.19914827347145578,0.030950712518758777,0.026630323663291874,0.04674014259321072,5.603578979999007e-17,3.2269260875919024e-17,4.1725261970897585e-17,0.3127124766105959,0.3245624202363718
center_d0.80,centered,m4c6,4,6,1.6,0.19999999999999996,1.8,0.2666666666666666,0.7724823535071382,0.038388708804941885,0.04658090227052807,0.0472011085165131,1.0193064743473246e-16,4.4972492116064684e-17,3.946725115459664e-17,0.30312192558415213,0.2875936767716006
center_d0.80,centered,m3c4,3,4,1.6,0.19999999999999996,1.8,0.0,0.7724823535071382,0.039429693477706106,0.04344104887667435,0.048804744911511676,1.1096888376091941e-16,5.318635554352451e-17,4.5494474740098314e-17,0.2956622316030832,0.29019680940825704
ratio_r3.0,ratio,m3c6,3,6,2.95,0.05,3.0,0.5250000000000001,0.5578254003710745,0.025869654586097728,0.032311696215715016,0.04903117534365619,8.639540541851501e-17,3.0005307243271665e-17,1.638842954787472e-17,0.30712079549149757,0.3119670892140793
center_d1.20,centered,m4c6,4,6,2.1500000000000004,0.05,2.2,0.23333333333333317,0.6990292757659671,0.019834373020153978,0.04235098013359539,0.049943881810465766,7.414592866798884e-17,1.783107525008906e-17,1.3450045653574149e-17,0.30344346408094774,0.2940059189016792
ratio_r4.0,ratio,m3c6,3,6,3.95,0.05,4.0,0.95,0.4060058497098381,0.029548134731252042,0.028669430477065903,0.05074276240785829,1.415406811495378e-16,8.530978421641852e-17,6.649847722603476e-17,0.30773873820808545,0.31966591305791686
center_d0.80,centered,m4c5,4,5,1.6,0.19999999999999996,1.8,0.2666666666666666,0.7724823535071382,0.03399156623936852,0.04826294316431967,0.050777663501344925,2.2814422879726457e-16,1.7077668944576195e-16,1.654361660183882e-16,0.2977690055046186,0.2824924401518109
ratio_r3.0,ratio,m4c5,4,5,2.95,0.05,3.0,0.03333333333333344,0.5578254003710745,0.02200982186598848,0.0415688562265534,0.051511516257395175,4.713745403984557e-17,2.5326515887239754e-17,3.074014169469269e-17,0.30916739708623353,0.2984386841713468
ratio_r4.0,ratio,m4c5,4,5,3.95,0.05,4.0,0.3666666666666667,0.4060058497098381,0.02634235471598062,0.03860598363872441,0.05166730161842459,1.2258902263454547e-16,6.488040190170508e-17,5.2289521115289756e-17,0.31154504195449934,0.30518408745902903
center_d1.20,centered,m3c6,3,6,2.1500000000000004,0.05,2.2,0.12500000000000022,0.6990292757659671,0.022588276031311815,0.040004131337621575,0.05355124608745065,1.1741467032690856e-16,5.819236568426973e-17,4.8246916600901104e-17,0.29996587022141585,0.2973106212638752
ratio_r2.0,ratio,m4c6,4,6,1.95,0.05,2.0,0.29999999999999993,0.7357588823428847,0.018776066492955188,0.04629413837783582,0.05390716918067281,1.2643726164113966e-17,6.201567888877038e-17,6.765265356529662e-17,0.29888832927208464,0.2868800044064287
ratio_r5.0,ratio,m3c6,3,6,4.95,0.05,5.0,0.95,0.2872974951836458,0.03268833893792249,0.0273896267700255,0.05478725909383867,8.670815182569385e-17,3.346908584910628e-17,1.508406861246744e-17,0.30530480906132934,0.32329296211089886
ratio_r5.0,ratio,m4c5,4,5,4.95,0.05,5.0,0.7000000000000002,0.2872974951836458,0.03081439721224456,0.038862563685263064,0.05567055655890831,2.231225093395296e-16,1.712140247719186e-16,1.551929639820846e-16,0.3091720168005388,0.30680058718555236
ratio_r2.0,ratio,m3c6,3,6,1.95,0.05,2.0,0.02499999999999991,0.7357588823428847,0.021673398617058234,0.043320987505227455,0.05641936190199323,1.850029775499533e-17,5.143015249020408e-17,5.935674390985111e-17,0.29634281757304426,0.291124864619523
