case,beta,n_modes,n_cut,omega_nodes,ed_p00,ed_coh,analytic_disc_p00,analytic_disc_coh,d_p00,d_coh
"resonant_[0.05,1.0,1.8]",0.6,3,3,0.050000;1.000000;1.800000,0.3674865528201447,4.311587754432848e-18,0.3855545612853274,1.9798266036078348e-18,-0.018068008465182694,2.331761150825013e-18
"resonant_[0.05,1.0,1.8]",1.1875,3,3,0.050000;1.000000;1.800000,0.2898242090566874,3.721551888007489e-18,0.32044018531392815,6.0558404195442065e-18,-0.030615976257240773,-2.334288531536718e-18
"resonant_[0.05,1.0,1.8]",1.775,3,3,0.050000;1.000000;1.800000,0.24607933951732835,1.0030258967423868e-17,0.28260943010331596,1.1052427731664891e-17,-0.03653009058598761,-1.0221687642410225e-18
"resonant_[0.05,1.0,1.8]",2.3625000000000003,3,3,0.050000;1.000000;1.800000,0.21948555909970136,2.263767475133491e-17,0.26303252749305583,1.6726241979261353e-17,-0.04354696839335448,5.9114327720735574e-18
"resonant_[0.05,1.0,1.8]",2.95,3,3,0.050000;1.000000;1.800000,0.20207760404219466,3.7915009387158905e-17,0.2570126975471759,2.3236608896654438e-17,-0.054935093504981214,1.4678400490504467e-17
"resonant_[0.05,1.0,1.8]",3.5375,3,3,0.050000;1.000000;1.800000,0.19002320521040802,5.367160796890341e-17,0.26154195408303593,3.0863857194013686e-17,-0.07151874887262791,2.2807750774889722e-17
"resonant_[0.05,1.0,1.8]",4.125,3,3,0.050000;1.000000;1.800000,0.1813506357687768,6.889397276137115e-17,0.27393897566188397,3.9787255599111104e-17,-0.09258833989310716,2.9106717162260043e-17
"resonant_[0.05,1.0,1.8]",4.7124999999999995,3,3,0.050000;1.000000;1.800000,0.17497086519574276,8.319555471822316e-17,0.29121349655007844,4.9895305315816256e-17,-0.11624263135433568,3.3300249402406906e-17
"resonant_[0.05,1.0,1.8]",5.3,3,3,0.050000;1.000000;1.800000,0.17022958781544797,9.649719760957416e-17,0.3101036772404593,6.070899620799525e-17,-0.1398740894250113,3.578820140157891e-17
"resonant_[0.05,1.0,1.8]",5.8875,3,3,0.050000;1.000000;1.800000,0.16669800139823818,1.0886339823112803e-16,0.3276341199948061,7.149346212536617e-17,-0.1609361185965679,3.7369936105761865e-17
"resonant_[0.05,1.0,1.8]",6.475,3,3,0.050000;1.000000;1.800000,0.16407450752301733,1.204187710262196e-16,0.34173272065152566,8.150261671790147e-17,-0.17765821312850832,3.891615430831813e-17
"resonant_[0.05,1.0,1.8]",7.0625,3,3,0.050000;1.000000;1.800000,0.16213706644776227,1.313050779788389e-16,0.3514713982120653,9.019790794857685e-17,-0.18933433176430303,4.1107170030262044e-17
"resonant_[0.05,1.0,1.8]",7.65,3,3,0.050000;1.000000;1.800000,0.160718269250113,1.4165955580976823e-16,0.3568754197542139,9.733146448189002e-17,-0.19615715050410087,4.432809132787822e-17
"resonant_[0.05,1.0,1.8]",8.2375,3,3,0.050000;1.000000;1.800000,0.15969068699189218,1.516048417981935e-16,0.35853435233889513,1.0290413799282976e-16,-0.19884366534700296,4.870070380536374e-17
"resonant_[0.05,1.0,1.8]",8.825,3,3,0.050000;1.000000;1.800000,0.15895715143114855,1.6124528848823393e-16,0.35724593492511425,1.0707032848151671e-16,-0.1982887834939657,5.417496000671722e-17
"resonant_[0.05,1.0,1.8]",9.4125,3,3,0.050000;1.000000;1.800000,0.15844370515045206,1.7066671399230242e-16,0.35378885498351453,1.100487944776487e-16,-0.19534514983306248,6.061791951465371e-17
"resonant_[0.05,1.0,1.8]",10.0,3,3,0.050000;1.000000;1.800000,0.15809423501573247,1.7993787198976113e-16,0.3488173324945687,1.12063171252029e-16,-0.19072309747883623,6.787470073773212e-17
"resonant_[0.05,1.0,2.0]",0.6,3,3,0.050000;1.000000;2.000000,0.36909493144301303,8.206001352814896e-18,0.3872198414681344,2.085456836637791e-18,-0.018124910025121344,6.120544516177104e-18
"resonant_[0.05,1.0,2.0]",1.1875,3,3,0.050000;1.000000;2.000000,0.29506063848253195,4.860783798878097e-18,0.3242604831833503,6.322358153554412e-18,-0.029199844700818378,-1.4615743546763153e-18
"resonant_[0.05,1.0,2.0]",1.775,3,3,0.050000;1.000000;2.000000,0.25434870125987175,2.382792718904427e-19,0.2879461828030261,1.1478980537178151e-17,-0.03359748154315434,-1.1240701265287709e-17
"resonant_[0.05,1.0,2.0]",2.3625000000000003,3,3,0.050000;1.000000;2.000000,0.2298247062433225,6.406875292022379e-18,0.26929243219935584,1.7310058157726847e-17,-0.039467725956033345,-1.0903182865704467e-17
"resonant_[0.05,1.0,2.0]",2.95,3,3,0.050000;1.000000;2.000000,0.21373672940028873,1.4130550178614475e-17,0.2637648629387105,2.3969794682721747e-17,-0.050028133538421754,-9.839244504107272e-18
"resonant_[0.05,1.0,2.0]",3.5375,3,3,0.050000;1.000000;2.000000,0.20250163203767943,2.178857488017464e-17,0.26843246395712506,3.171782512399405e-17,-0.06593083191944563,-9.929250243819407e-18
"resonant_[0.05,1.0,2.0]",4.125,3,3,0.050000;1.000000;2.000000,0.19432498679685667,2.8655591363234585e-17,0.2806223462684854,4.069727852836281e-17,-0.08629735947162875,-1.2041687165128224e-17
"resonant_[0.05,1.0,2.0]",4.7124999999999995,3,3,0.050000;1.000000;2.000000,0.18823295645099708,3.4382073022701535e-17,0.2973527534699184,5.0756421010149105e-17,-0.10911979701892133,-1.637434798744757e-17
"resonant_[0.05,1.0,2.0]",5.3,3,3,0.050000;1.000000;2.000000,0.18364640580510852,3.8861859708577595e-17,0.315426380292286,6.139163208243841e-17,-0.13177997448717746,-2.2529772373860812e-17
"resonant_[0.05,1.0,2.0]",5.8875,3,3,0.050000;1.000000;2.000000,0.18018640479163708,4.212974025712972e-17,0.331992361534067,7.187382719225783e-17,-0.15180595674242994,-2.974408693512811e-17
"resonant_[0.05,1.0,2.0]",6.475,3,3,0.050000;1.000000;2.000000,0.17758456335631959,4.429373309283658e-17,0.34511915417462835,8.149076455948533e-17,-0.16753459081830877,-3.719703146664875e-17
"resonant_[0.05,1.0,2.0]",7.0625,3,3,0.050000;1.000000;2.000000,0.17564070547026472,4.549255767637788e-17,0.3539865269691975,8.974976554495593e-17,-0.1783458214989328,-4.425720786857805e-17
"resonant_[0.05,1.0,2.0]",7.65,3,3,0.050000;1.000000;2.000000,0.1742014872974805,4.5870280875183704e-17,0.3586746939233687,9.644440200530268e-17,-0.1844732066258882,-5.0574121130118976e-17
"resonant_[0.05,1.0,2.0]",8.2375,3,3,0.050000;1.000000;2.000000,0.17314822562091564,4.5562373403809636e-17,0.3597827803401531,1.0160412442360528e-16,-0.18663455471923746,-5.604175101979565e-17
"resonant_[0.05,1.0,2.0]",8.825,3,3,0.050000;1.000000;2.000000,0.1723889328021749,4.468907107495996e-17,0.3580909251195623,1.0539849318105176e-16,-0.1857019923173874,-6.07094221060918e-17
"resonant_[0.05,1.0,2.0]",9.4125,3,3,0.050000;1.000000;2.000000,0.17185249746089235,4.3353174262427774e-17,0.35434930685215593,1.0805130943141496e-16,-0.1824968093912636,-6.469813516898718e-17
"resonant_[0.05,1.0,2.0]",10.0,3,3,0.050000;1.000000;2.000000,0.17148416639080585,4.164035728385914e-17,0.3491828936103882,1.0978512542511832e-16,-0.17769872721958233,-6.814476814125918e-17
"uniform_[0.2,1.0,1.8]",0.6,3,3,0.200000;1.000000;1.800000,0.36768707084381624,1.5111315832606544e-17,0.3823787735302755,1.7783712240249342e-18,-0.014691702686459251,1.333294460858161e-17
"uniform_[0.2,1.0,1.8]",1.1875,3,3,0.200000;1.000000;1.800000,0.2916882351028592,2.6397855902767245e-17,0.3126416950081272,5.511202438897917e-18,-0.020953459905268035,2.0886653463869328e-17
"uniform_[0.2,1.0,1.8]",1.775,3,3,0.200000;1.000000;1.800000,0.25142990345386573,1.893611597812596e-17,0.2709091007513524,1.0111871055444877e-17,-0.01947919729748665,8.824244922681083e-18
