key,status,error,timestamp,elapsed_s,beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
0.60000000|4,ok,,2026-02-20 11:54:48,0.006929099996341392,0.6,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.392896938869074,2.4455782082205422e-18,0.37719315582179913,6.633472536958871e-18,-0.010332714791054964,-0.005488972565795225,-0.015703783047274877,3.030433694689784e-18,4.835858180245664e-18,4.187894328738329e-18
1.18750000|4,ok,,2026-02-20 11:54:48,0.0062570999944000505,1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3372932208935022,7.232366771025638e-18,0.32047255092313703,6.744471896906573e-18,-0.01019290742929857,0.007086679240810134,-0.016820669970365187,-1.5361324996343732e-17,1.1813135201989618e-18,-4.878948741190653e-19
1.77500000|4,ok,,2026-02-20 11:54:48,0.006492100001196377,1.775,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.3065770987233778,1.2974994169727008e-17,0.29701073362286495,2.352179484214688e-19,-0.0042023487182157315,0.025026622876387183,-0.009566365100512841,-4.459621742245459e-18,-9.96277453633111e-18,-1.2739776221305539e-17
2.36250000|4,ok,,2026-02-20 11:54:48,0.005890899999940302,2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.29169450825995685,1.943008756026302e-17,0.28796238407583774,5.469042096521005e-18,0.0033586100552978615,0.0383651855320028,-0.003732124184119112,5.048304289141871e-18,-9.978852408820028e-18,-1.3961045463742018e-17
2.95000000|4,ok,,2026-02-20 11:54:48,0.006584900002053473,2.95,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.28831913595556735,2.673237704652343e-17,0.2849464642023059,8.460959386982023e-18,0.011027234324430868,0.04344368207034499,-0.003372671753261447,4.63151194941323e-18,-1.3004689712545411e-17,-1.8271417659541408e-17
3.53750000|4,ok,,2026-02-20 11:54:48,0.005836899996211287,3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.2935739135808109,3.507580221628434e-17,0.2844059201177809,9.93987335066693e-18,0.018319647966691444,0.039592000687385165,-0.009167993463030044,2.373889790252567e-18,-1.8613285759198665e-17,-2.5135928865617408e-17
4.12500000|4,ok,,2026-02-20 11:54:48,0.006525199998577591,4.125,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.30477429023409697,4.4505353815051664e-17,0.2848559475700766,1.0407030365021457e-17,0.02508973805263809,0.027777602423159964,-0.019918342664020372,-1.218494766001505e-17,-2.653219854611752e-17,-3.4098323450030207e-17
4.71250000|4,ok,,2026-02-20 11:54:48,0.006251900005736388,4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3190808949313224,5.478555507720957e-17,0.28567348117372876,1.0178892259349344e-17,0.031291323243875846,0.010227482249564379,-0.03340741375759365,-1.1548517622441443e-18,-3.6379994680437384e-17,-4.4606662817860226e-17
5.30000000|4,ok,,2026-02-20 11:54:48,0.006364799999573734,5.3,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3337221877102433,6.53978484965795e-17,0.2865938131027313,9.478948628511703e-18,0.036901633730598765,-0.009909194906365049,-0.047128374607512014,8.38763476588652e-18,-4.744599671770657e-17,-5.59188998680678e-17
5.88750000|4,ok,,2026-02-20 11:54:48,0.00585970000247471,5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,3,4,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.34646431850002324,7.568033643828946e-17,0.2875039739061442,8.475874063139527e-18,0.04190248974406996,-0.029310525636093543,-0.058960344593879055,5.867226947942198e-18,-5.874067940539619e-17,-6.720446237514993e-17
