beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
0.6,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.4021687371179293,3.03372329212719e-18,0.37940897299386067,6.07764237727736e-19,-0.008116897618993424,-0.0032731553937336844,-0.022759764124068604,-2.9952746045413512e-18,-1.1898501189854714e-18,-2.425959054399454e-18
1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3570606449310244,8.61254802078983e-18,0.3263055679001651,1.8228282815442424e-17,-0.004359890452270476,0.012919696217838228,-0.03075507703085928,-3.8775140778078814e-18,1.2665124438734813e-17,9.615734794652593e-18
1.775,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.33362236669740797,1.514657776388439e-17,0.3077943204059368,3.4761551855072167e-17,0.00658123806485611,0.035810209659459025,-0.025828046291471174,3.0066712164405235e-17,2.456355937031959e-17,1.9614974091187775e-17
2.3625000000000003,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.2846037740205399,4.207378073791339e-19,0.24959719854383494,1.5447894505341032e-17,0.3232114615140754,2.2415500917728458e-17,0.3034787357859302,4.299038378713441e-17,0.01887496176539033,0.05388153724209527,-0.019732725728145217,4.2569645979755276e-17,2.7542489281793377e-17,2.057488286940595e-17
2.95,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.27391922987787504,3.8294474375687935e-18,0.2415027821319609,2.1465649099527434e-17,0.3219301584326498,3.0533677659436564e-17,0.3042250962433241,4.6010251025559365e-17,0.030305866365449075,0.0627223141113632,-0.017705062189325715,4.218080358799057e-17,2.454460192603193e-17,1.54765733661228e-17
3.5375,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.26608627215108943,7.565983560414363e-18,0.2448139194303957,2.8553159109865595e-17,0.3270425592881051,3.9623598235421264e-17,0.3065740238673818,4.694035099086365e-17,0.040487751716292375,0.061760104436986096,-0.0204685354207233,3.937436743044929e-17,1.8387191880998056e-17,7.316752755442387e-18
4.125,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.2597662095174385,2.2591978025036506e-17,0.25707834514691663,3.693922891113898e-17,0.3359939619308407,4.965072772104989e-17,0.3092577495243452,4.747765705190561e-17,0.0494915400069067,0.05217940437742857,-0.026736212406495485,2.48856790268691e-17,1.053842814076663e-17,-2.173070669144282e-18
4.7124999999999995,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.2543821579298529,1.1333744021593488e-17,0.2754459989241644,4.6558886939786726e-17,0.3463441230417898,6.035847416173932e-17,0.3118104051449679,4.83446943395776e-17,0.05742824721511497,0.0363644062208035,-0.034533717896821914,3.701095031798411e-17,1.7858073997908732e-18,-1.2013779822161719e-17
5.3,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.24969217937213253,1.0913138626251826e-18,0.29650300800909635,5.692494534621827e-17,0.3560365925599832,7.130750267756225e-17,0.31407138198072476,4.9775039774429006e-17,0.06437920260859223,0.017568373971628415,-0.04196521057925845,4.868372591180382e-17,-7.149905571789269e-18,-2.1532462903133242e-17
5.8875,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.24560148416207422,2.608647115197329e-18,0.3168144995422377,6.721655346853571e-17,0.3636602259030667,8.198974725718475e-17,0.3160034284313854,5.179179090074271e-17,0.07040194426931118,-0.0008110711108523239,-0.04765679747168128,4.918314378554538e-17,-1.5424762567793004e-17,-3.0197956356442044e-17
