case,n_modes,n_cut,beta,g,theta,omega_q,ratio_min,ratio_max,omega_min,omega_max,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
m3c5,3,5,0.6,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.3534465718006687,3.272089431746191e-18,0.3427870877566142,3.5561531654386e-18,0.332890228552459,2.306347750380968e-17,-0.020556343248209707,-0.009896859204155228,1.979138807206349e-17,1.950732433837108e-17
m3c5,3,5,1.525,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.28625699588877884,6.970472803059261e-18,0.25171432934015914,1.475947163585612e-17,0.24703073722130411,1.5745766769939974e-17,-0.03922625866747473,-0.004683592118855023,8.775293966880713e-18,9.862951340838529e-19
m3c5,3,5,2.45,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.26580046343201447,4.091012029459027e-19,0.2481438340837716,3.0678806484076397e-17,0.22844674536684878,6.40856421793536e-17,-0.037353718065165686,-0.019697088716922828,6.367654097640769e-17,3.34068356952772e-17
m3c5,3,5,3.3750000000000004,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.25425939084707627,7.948254932072716e-18,0.2890727123894826,5.370478304467922e-17,0.22642819847747644,1.1700422818003543e-16,-0.027831192369599828,-0.06264451391200618,1.0905597324796271e-16,6.329944513535621e-17
m3c5,3,5,4.3,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.24589347666961206,2.5067883459494643e-18,0.333308761030118,7.883535231060748e-17,0.22883029444023703,1.7223992150438775e-16,-0.01706318222937503,-0.10447846658988094,1.6973313315843829e-16,9.340456919378027e-17
m3c5,3,5,5.225,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.23986545877446963,1.443532842684848e-17,0.354345198443473,9.696274138107575e-17,0.23236307362757475,2.282251685401367e-16,-0.0075023851468948854,-0.12198212481589826,2.1378984011328824e-16,1.3126242715906097e-16
m3c5,3,5,6.15,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.23603013657516558,1.6626801333488475e-18,0.35387449653212555,1.0583241439707256e-16,0.2359813461656906,2.8418863595830664e-16,-4.8790409474974705e-05,-0.11789315036643494,2.8252595582495777e-16,1.7835622156123407e-16
m3c5,3,5,7.075,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.23424704796040802,9.34719051086205e-18,0.3421896511610122,1.0821360824050503e-16,0.239327774397121,3.3982519970865283e-16,0.005080726436712979,-0.10286187676389119,3.304780091977908e-16,2.316115914681478e-16
m3c5,3,5,8.0,0.5,1.5707963267948966,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.234297604813355,1.4030851917869842e-17,0.3261782582047513,1.0700205979581212e-16,0.24229214204638938,3.9504364630587806e-16,0.007994537233034393,-0.08388611615836195,3.810127943880082e-16,2.8804158651006595e-16
m3c5,3,5,0.6,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.36133945609643137,3.5312237111258336e-17,0.3487099712673653,3.947917920527406e-18,0.33379399330811743,4.3365200505834034e-19,-0.027545462788313935,-0.014915977959247873,-3.4878585106199994e-17,-3.514265915469066e-18
m3c5,3,5,1.525,0.5,1.5707963267948966,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.3037036079926412,1.343129748360087e-17,0.2640025651075066,1.587064627767919e-17,0.24789991118932225,2.3467688534600666e-17,-0.055803696803318925,-0.01610265391818433,1.0036391050999796e-17,7.597042256921475e-18
