case,n_modes,n_cut,omega_q,ratio_min,ratio_max,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_best_p00,rmse_ed_vs_ordered_p00,rmse_ed_vs_best_coh,rmse_ed_vs_ordered_coh,p00_at_beta2,p00_at_beta6
m3c5,3,5,1.5,0.05,2.0,0.07500000000000001,3.0,0.02499999999999991,0.5578254003710745,0.08282768197948864,0.022529745514851554,1.4902699601368153e-16,2.1734238835705745e-16,0.23748760626901624,0.23539459926761777
m3c5,3,5,1.5,0.05,3.0,0.07500000000000001,4.5,0.525,0.3425474798260591,0.07638589629606916,0.03170315006380452,1.5525995966717151e-16,2.152166200532924e-16,0.24012904498027413,0.24908399551974586
m3c5,3,5,1.5,0.05,4.0,0.07500000000000001,6.0,0.9500000000000001,0.19914827347145578,0.07377880099705704,0.03739917382454094,9.437143524603696e-17,1.599140802842419e-16,0.23779658767698306,0.25564315592146974
m3c5,3,5,1.5,0.05,5.0,0.07500000000000001,7.5,0.9500000000000001,0.11170929281604326,0.07060769263655955,0.03979472690384531,4.2204519294356186e-17,9.871084577038525e-17,0.23695134543893412,0.26155862699782617
m3c5,3,5,1.5,0.05,6.0,0.07500000000000001,9.0,0.9500000000000001,0.061099480960332686,0.06621281522742863,0.03984669139445607,1.382534398361302e-16,1.9963648904391901e-16,0.23881603620872519,0.26805003529989513
m3c5,3,5,2.0,0.05,2.0,0.1,4.0,0.02499999999999991,0.4060058497098381,0.10112414159868964,0.022523680509022,1.9325781157989119e-16,2.65078128486141e-16,0.19665097297177403,0.20681507895813142
m3c5,3,5,2.0,0.05,3.0,0.1,6.0,0.5250000000000001,0.19914827347145578,0.09288101512041533,0.029262053888970005,1.2910788590923729e-16,1.9572259649577738e-16,0.19949185267648303,0.22186158507336157
m3c5,3,5,2.0,0.05,4.0,0.1,8.0,0.95,0.0915781944436709,0.08570178216907322,0.030937479751610795,8.019850694501218e-17,1.5306108968060337e-17,0.20296628169864195,0.23281541415046908
m3c5,3,5,2.0,0.05,5.0,0.1,10.0,0.95,0.0404276819945128,0.07734255100957536,0.03013470756735808,1.827704827066785e-16,2.5070702678950225e-16,0.21002165988377647,0.24362099133711132
m3c5,3,5,2.0,0.05,6.0,0.1,12.0,0.95,0.01735126523666451,0.0682977204670354,0.02924672612073823,1.012715769113158e-16,1.6591754637586327e-16,0.2197761925389839,0.2544565238674724
m3c5,3,5,2.5,0.05,2.0,0.125,5.0,0.025,0.2872974951836458,0.11044347820045998,0.02211553311908021,5.471352044525153e-17,5.977048364239911e-17,0.16754560887856662,0.1846728794413007
m3c5,3,5,2.5,0.05,3.0,0.125,7.5,0.525,0.11170929281604326,0.09901227488547823,0.025028144261388927,3.337693210219398e-16,3.9997672379259104e-16,0.1749766407852432,0.20327110502757256
m3c5,3,5,2.5,0.05,4.0,0.125,10.0,0.95,0.0404276819945128,0.0874443841894788,0.024605856718644927,6.192831941412062e-17,2.3536447894146945e-17,0.18582159246990693,0.21890786425283726
