sweep,beta,theta,g,ordered_p00,exact_naive_p00,exact_stable_p00,naive_minus_ordered,stable_minus_ordered,naive_minus_stable,naive_finite
beta_theta_pi2_g05,0.2,1.5707963267948966,0.5,0.4171092362821627,0.4175926563915064,0.41759265639150644,0.00048342010934371293,0.00048342010934376844,-5.551115123125783e-17,1.0
beta_theta_pi2_g05,0.5625,1.5707963267948966,0.5,0.33333279121511844,0.35971832834665696,0.359718328346657,0.026385537131538517,0.026385537131538572,-5.551115123125783e-17,1.0
beta_theta_pi2_g05,0.925,1.5707963267948966,0.5,0.295212766846929,0.4361614934117461,0.4361614934117461,0.1409487265648171,0.1409487265648171,0.0,1.0
beta_theta_pi2_g05,1.2874999999999999,1.5707963267948966,0.5,0.2761369360009454,0.7150217242971345,0.7150217242971341,0.4388847882961891,0.43888478829618865,4.440892098500626e-16,1.0
beta_theta_pi2_g05,1.65,1.5707963267948966,0.5,0.26506290709493424,0.972909450262382,0.9729094502623822,0.7078465431674477,0.7078465431674479,-2.220446049250313e-16,1.0
beta_theta_pi2_g05,2.0125,1.5707963267948966,0.5,0.25761023328062255,0.9998747447873986,0.9998747447873987,0.7422645115067761,0.7422645115067761,-1.1102230246251565e-16,1.0
beta_theta_pi2_g05,2.375,1.5707963267948966,0.5,0.2520141771865,0.9999999970096625,0.9999999970096645,0.7479858198231625,0.7479858198231645,-1.9984014443252818e-15,1.0
beta_theta_pi2_g05,2.7375000000000003,1.5707963267948966,0.5,0.24754716875852817,1.000000000000008,1.0,0.7524528312414798,0.7524528312414718,7.993605777301127e-15,1.0
beta_theta_pi2_g05,3.1,1.5707963267948966,0.5,0.24390278102992022,0.999999999999985,1.0,0.7560972189700648,0.7560972189700798,-1.4988010832439613e-14,1.0
beta_theta_pi2_g05,3.4625,1.5707963267948966,0.5,0.24094739805244655,0.9999999999999806,1.0,0.759052601947534,0.7590526019475534,-1.942890293094024e-14,1.0
beta_theta_pi2_g05,3.825,1.5707963267948966,0.5,0.2386168286203733,0.9999999999998715,1.0,0.7613831713794983,0.7613831713796266,-1.284528039491306e-13,1.0
beta_theta_pi2_g05,4.1875,1.5707963267948966,0.5,0.2368725099496718,1.0000000000002225,1.0,0.7631274900505507,0.7631274900503282,2.2248869413488137e-13,1.0
beta_theta_pi2_g05,4.55,1.5707963267948966,0.5,0.2356831607449812,0.999999999999216,1.0,0.7643168392542348,0.7643168392550188,-7.840394999902855e-13,1.0
beta_theta_pi2_g05,4.9125,1.5707963267948966,0.5,0.23501758804958311,1.0000000000012408,1.0,0.7649824119516577,0.7649824119504169,1.240785252321075e-12,1.0
