case,n_modes,n_cut,omega_q,omega_min,omega_max,window_ratio_min,window_ratio_max,dw,detune_abs,detune_over_omega_q,detune_over_dw,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_best_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_best_coh,p00_at_beta2,p00_at_beta8
m3c5,3,5,2.0,0.1,3.0,0.05,1.5,1.45,0.44999999999999996,0.22499999999999998,0.31034482758620685,0.5578254003710745,0.015958886217621024,0.10039045639683891,2.033327388530183e-16,1.3445954361872793e-16,0.19033950890158777,0.19755172657822803
m3c5,3,5,2.0,0.1,4.0,0.05,2.0,1.9499999999999997,0.04999999999999982,0.02499999999999991,0.025641025641025553,0.4060058497098381,0.02150927171735684,0.09162891253019842,3.541808381457564e-16,2.8427879125813116e-16,0.19666778010682137,0.2136470188793691
m3c5,3,5,2.0,0.1,5.0,0.05,2.5,2.45,0.5500000000000003,0.27500000000000013,0.22448979591836743,0.2872974951836458,0.025736468027364404,0.08703272171934946,4.0484089167581196e-16,3.4310113276756716e-16,0.19858191425013677,0.22261197759542434
m3c5,3,5,2.0,0.1,6.0,0.05,3.0,2.95,1.0500000000000003,0.5250000000000001,0.35593220338983056,0.19914827347145578,0.02837412545994907,0.0836713276608858,2.6972079651993314e-16,2.082478325056527e-16,0.19949711702817377,0.22874317715690212
m3c5,3,5,2.0,0.1,8.0,0.05,4.0,3.9499999999999997,1.9,0.95,0.4810126582278481,0.0915781944436709,0.029832886822239894,0.07708765496975205,1.1325423043809356e-17,7.990360429355255e-17,0.2029549709782394,0.23853719432632942
m3c5,3,5,2.0,0.1,10.0,0.05,5.0,4.95,1.9,0.95,0.3838383838383838,0.0404276819945128,0.028612208387720373,0.06964146944854134,3.2350949199111086e-16,2.5628815843593727e-16,0.20999472144170517,0.24796648237355642
m3c5,3,5,2.0,0.1,12.0,0.05,6.0,5.95,1.9,0.95,0.31932773109243695,0.01735126523666451,0.027278218122613388,0.06185911534497755,2.1684479713681824e-16,1.5509353524194534e-16,0.21973691323972902,0.25760021737103844
m4c4,4,4,2.0,0.1,3.0,0.05,1.5,0.9666666666666667,0.033333333333333215,0.016666666666666607,0.03448275862068953,0.5578254003710745,0.030349532193842017,0.1184769568156312,1.4397578427578908e-16,9.459650683837765e-17,0.18269296704989638,0.1706203593966333
m4c4,4,4,2.0,0.1,4.0,0.05,2.0,1.3,0.5999999999999999,0.29999999999999993,0.4615384615384614,0.4060058497098381,0.0373912568758007,0.11069783241786295,1.858514620091189e-17,7.25013515705197e-17,0.18972267322308228,0.184385137670639
m4c4,4,4,2.0,0.1,5.0,0.05,2.5,1.6333333333333335,0.2666666666666664,0.1333333333333332,0.1632653061224488,0.2872974951836458,0.043527586086351266,0.10807230828489298,2.3246828091686703e-17,6.490824156109367e-17,0.19049570954023237,0.19066469534765923
m4c4,4,4,2.0,0.1,6.0,0.05,3.0,1.9666666666666668,0.06666666666666687,0.03333333333333344,0.03389830508474587,0.19914827347145578,0.04848570494104678,0.10746154524275645,4.3117849002165586e-17,5.010469639154127e-17,0.18874485809944574,0.19373783275102494
m4c4,4,4,2.0,0.1,8.0,0.05,4.0,2.6333333333333333,0.7333333333333334,0.3666666666666667,0.2784810126582279,0.0915781944436709,0.055023919936536915,0.10755105449833435,9.471347696680248e-17,4.040150945065059e-17,0.18374202165768214,0.19688814867033846
m4c4,4,4,2.0,0.1,10.0,0.05,5.0,3.3000000000000003,1.4000000000000004,0.7000000000000002,0.4242424242424243,0.0404276819945128,0.05796401809680244,0.10683116370542162,3.5937072493773e-17,5.396418945177553e-17,0.18030932704748562,0.199818056799053
m4c4,4,4,2.0,0.1,12.0,0.05,6.0,3.9666666666666663,1.9,0.95,0.4789915966386555,0.01735126523666451,0.058350457536010036,0.10465272997444736,8.545607617804403e-17,4.8660342678017006e-17,0.17947426850723308,0.20370034953745145
