key,status,error,timestamp,elapsed_s,sweep,param_name,param_value,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|3,ok,,2026-02-19 23:39:50,0.0652442000000519,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,3,0.3633605926033967,8.973611644727498e-18,0.3548111143421617,2.917353835927309e-18,0.3218493168287472,8.640544100482175e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|4,ok,,2026-02-19 23:40:26,0.06495100000029197,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,4,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3256586887031718,3.860220107702017e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|5,ok,,2026-02-19 23:40:27,0.0012641000002986402,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,5,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.32926098225883477,8.875536328357113e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|6,ok,,2026-02-19 23:40:27,0.0022957000001042616,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,6,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.33268697338027375,8.967937698088681e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|8,ok,,2026-02-19 23:40:28,0.006592399999135523,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,8,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.33906033770837396,1.9295158329890732e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|10,ok,,2026-02-19 23:40:28,0.012828400000216789,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,10,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.344864052129785,6.182348904505333e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|3,ok,,2026-02-19 23:40:29,0.0015347000007750466,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,3,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3282364894927087,1.7741943295792824e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|4,ok,,2026-02-19 23:40:29,0.006733100000019476,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,4,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3311281102039478,2.4298215006191405e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|5,ok,,2026-02-19 23:40:30,0.02192990000003192,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,5,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.33321880864247455,1.4270681102043464e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|6,ok,,2026-02-19 23:40:30,0.07646769999973912,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,6,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.33503224831152006,1.2591721228174953e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|8,ok,,2026-02-19 23:40:31,0.6071818000000349,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,8,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3383576704788728,1.0551526177413501e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|10,ok,,2026-02-19 23:40:32,3.3562819999997373,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,10,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.34145517897774047,4.519779022304414e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|4|3,ok,,2026-02-19 23:40:36,0.012915599999359983,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,4,3,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3318351783756751,5.458726227372623e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|4|4,ok,,2026-02-19 23:40:36,0.15506960000038816,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,4,4,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3354552851012806,3.704251082962666e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|4|5,ok,,2026-02-19 23:40:37,1.3873278999999457,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,4,5,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.33770909002175387,8.662219822727388e-18
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|4|6,ok,,2026-02-19 23:40:39,10.5046796000006,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,4,6,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.33932206308798757,1.8524623312413648e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|4|8,ok,,2026-02-19 23:40:50,278.42984239999987,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,4,8,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3417859260101568,8.853204425052149e-17
