key,status,error,timestamp,elapsed_s,sweep,param_name,param_value,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|3,ok,,2026-02-19 23:40:04,0.06442150000020774,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,3,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3218493168287472,8.640544100482176e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|2|4,ok,,2026-02-19 23:40:05,0.0010687999993024278,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,2,4,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3256586887031718,3.860220107702017e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|3,ok,,2026-02-19 23:40:06,0.0016169000000445521,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,3,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3282364894927087,1.7741943295792824e-17
temperature_pi2_g05|0.40000000|1.57079633|0.50000000|3|4,ok,,2026-02-19 23:40:06,0.0066014999993058154,temperature_pi2_g05,beta,0.4,0.4,1.5707963267948966,0.5,3,4,0.3633605926033967,8.973611644727497e-18,0.3548111143421617,2.917353835927309e-18,0.3311281102039478,2.4298215006191405e-18
temperature_pi2_g05|3.20000000|1.57079633|0.50000000|2|3,ok,,2026-02-19 23:40:07,0.0646852999998373,temperature_pi2_g05,beta,3.1999999999999997,3.1999999999999997,1.5707963267948966,0.5,2,3,0.24595230989518566,1.2279726516291224e-17,0.3308857804655848,7.77393384225006e-17,0.16862012175968236,7.583217893681507e-16
temperature_pi2_g05|3.20000000|1.57079633|0.50000000|2|4,ok,,2026-02-19 23:40:07,0.0009812999996938743,temperature_pi2_g05,beta,3.1999999999999997,3.1999999999999997,1.5707963267948966,0.5,2,4,0.24595230989518566,1.2279726516291224e-17,0.3308857804655848,7.77393384225006e-17,0.2223437151309914,1.0702000660221998e-15
temperature_pi2_g05|3.20000000|1.57079633|0.50000000|3|3,ok,,2026-02-19 23:40:08,0.001569799999742827,temperature_pi2_g05,beta,3.1999999999999997,3.1999999999999997,1.5707963267948966,0.5,3,3,0.24595230989518566,1.2279726516291224e-17,0.3308857804655848,7.77393384225006e-17,0.14350242247290276,1.1901648686987132e-16
temperature_pi2_g05|3.20000000|1.57079633|0.50000000|3|4,ok,,2026-02-19 23:40:08,0.006617400000322959,temperature_pi2_g05,beta,3.1999999999999997,3.1999999999999997,1.5707963267948966,0.5,3,4,0.24595230989518566,1.2279726516291224e-17,0.3308857804655848,7.77393384225006e-17,0.18175369117351056,7.531159045756381e-18
temperature_pi2_g05|6.00000000|1.57079633|0.50000000|2|3,ok,,2026-02-19 23:40:09,0.06439600000067003,temperature_pi2_g05,beta,6.0,6.0,1.5707963267948966,0.5,2,3,0.236981107836427,5.456907231702624e-18,0.32613321641818804,1.1014768467452276e-16,0.17915116546349638,1.4016884401239287e-15
temperature_pi2_g05|6.00000000|1.57079633|0.50000000|2|4,ok,,2026-02-19 23:40:09,0.0010022999995271675,temperature_pi2_g05,beta,6.0,6.0,1.5707963267948966,0.5,2,4,0.236981107836427,5.456907231702624e-18,0.32613321641818804,1.1014768467452276e-16,0.23660708365618144,2.0875902831591225e-15
temperature_pi2_g05|6.00000000|1.57079633|0.50000000|3|3,ok,,2026-02-19 23:40:10,0.0015137000000322587,temperature_pi2_g05,beta,6.0,6.0,1.5707963267948966,0.5,3,3,0.236981107836427,5.456907231702624e-18,0.32613321641818804,1.1014768467452276e-16,0.15154857831670374,2.7069187163691515e-16
temperature_pi2_g05|6.00000000|1.57079633|0.50000000|3|4,ok,,2026-02-19 23:40:10,0.0064976000003298395,temperature_pi2_g05,beta,6.0,6.0,1.5707963267948966,0.5,3,4,0.236981107836427,5.456907231702624e-18,0.32613321641818804,1.1014768467452276e-16,0.19792495889002018,1.0007839934342842e-17
