sweep,n_modes,n_cut,n_points,rmse_ed_vs_ordered_p00,rmse_ed_vs_best_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_best_coh,p00_at_beta2
temperature_pi2_g05,2,3,1,0.041511275774649525,0.03296179751341455,7.743182936009425e-17,8.348808716889445e-17,0.3218493168287472
temperature_pi2_g05,2,4,1,0.03770190390022493,0.029152425638989954,2.962858943229267e-17,3.568484724109286e-17,0.3256586887031718
temperature_pi2_g05,2,5,1,0.03409961034456194,0.02555013208332696,9.807531637038358e-20,5.958182492429804e-18,0.32926098225883477
temperature_pi2_g05,2,6,1,0.03067361922312295,0.022124140961887973,5.673946638815507e-21,6.050583862161372e-18,0.33268697338027375
temperature_pi2_g05,2,8,1,0.024300254895022744,0.015750776633787766,7.044095811738423e-18,9.878380029382359e-19,0.33906033770837396
temperature_pi2_g05,2,10,1,0.01849654047361171,0.009947062212376734,2.791262740222164e-18,3.2649950685780236e-18,0.344864052129785
temperature_pi2_g05,3,3,1,0.035124103110687976,0.026574624849453,8.768331651065328e-18,1.4824589459865514e-17,0.3282364894927087
temperature_pi2_g05,3,4,1,0.032232482399448925,0.023683004138213948,6.543790144108356e-18,4.875323353081686e-19,0.3311281102039478
temperature_pi2_g05,3,5,1,0.030141783960922153,0.021592305699687175,5.297069457315967e-18,1.1353327266116155e-17,0.33321880864247455
temperature_pi2_g05,3,6,1,0.02832834429187664,0.019778866030641662,7.714439521910001e-18,1.6581817131098138e-18,0.33503224831152006
temperature_pi2_g05,3,8,1,0.02500292212452393,0.016453443863288952,1.5779145326860045e-18,7.634172341486192e-18,0.3383576704788728
temperature_pi2_g05,3,10,1,0.021905413625656234,0.013355935364421256,4.4538326224230824e-18,1.602425186377105e-18,0.34145517897774047
temperature_pi2_g05,4,3,1,0.03152541422772159,0.022975935966486616,3.514885417354874e-18,2.5413723914453136e-18,0.3318351783756751
temperature_pi2_g05,4,4,1,0.027905307502116117,0.01935582924088114,5.2693605617648305e-18,7.868972470353569e-19,0.3354552851012806
temperature_pi2_g05,4,5,1,0.025651502581642838,0.01710202432040786,3.113918220001086e-19,5.744865986800079e-18,0.33770909002175387
temperature_pi2_g05,4,6,1,0.024038529515409135,0.015489051254174158,9.551011667686151e-18,1.560726947648634e-17,0.33932206308798757
temperature_pi2_g05,4,8,1,0.021574666593239922,0.013025188332004944,7.955843260579399e-17,8.561469041459419e-17,0.3417859260101568
